2092-01-01	二零九一 辛亥[猪]年 冬月大廿三	周二	元旦节	张仙诞	无	辛亥 庚子 辛酉 癸巳	无	小寒 (1, 5)	猪	摩羯座	沐浴、剃头、扫舍宇、捕捉、畋猎、赴任、入宅、整容	祭祀、结婚姻、宴会、上表章、上官、冠带、竖柱上梁、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、启攒、庆赐、补垣、临政、裁制、开仓、修仓库、鼓铸、颁诏、乘船渡水、出师、招贤、布政事、选将、筑堤防、举正直、求嗣、营建、缮城郭、施恩、安抚边境、修饰垣墙、宣政事、取鱼、上册、修宫室、祈福
2092-01-20	二零九一 辛亥[猪]年 腊月小十二	周日	无	无	无	辛亥 辛丑 庚辰 辛巳	大寒	立春 (2, 4)	猪	水瓶座	祭祀、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、整容、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、取鱼、修饰垣墙、上册、塞穴、修宫室、整手足甲、立券交易、祈福
2092-01-21	二零九一 辛亥[猪]年 腊月小十三	周一	无	无	列宁逝世纪念日	辛亥 辛丑 辛巳 癸巳	无	立春 (2, 4)	猪	水瓶座	祭祀、宴会、上官、冠带、竖柱上梁、经络、牧养、庆赐、临政、裁制、纳采、赴任、入宅、恤孤茕、纳畜、布政事、覃恩、举正直、求嗣、雪冤、施恩、祈福	出行、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、破土、安葬、启攒、补垣、鼓铸、乘船渡水、出师、筑堤防、选将、营建、安抚边境、取鱼、修饰垣墙、上册、塞穴
2092-01-22	二零九一 辛亥[猪]年 腊月小十四	周二	无	无	无	辛亥 辛丑 壬午 乙巳	无	立春 (2, 4)	猪	水瓶座	沐浴、剃头、捕捉、畋猎、赴任、恤孤茕、布政事、整容、覃恩、雪冤、整手足甲、诉讼	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、开仓、纳采、立券交易、修仓库、乘船渡水、纳畜、出师、解除、招贤、筑堤防、选将、举正直、酝酿、求嗣、营建、缮城郭、安抚边境、施恩、取鱼、修饰垣墙、上册、苫盖、修宫室、祈福
2092-01-23	二零九一 辛亥[猪]年 腊月小十五	周三	无	无	无	辛亥 辛丑 癸未 丁巳	无	立春 (2, 4)	猪	水瓶座	恤孤茕、覃恩、雪冤	剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、伐木、启攒、补垣、开仓、鼓铸、出师、整容、筑堤防、修饰垣墙、塞穴、整手足甲、修宫室
2092-01-24	二零九一 辛亥[猪]年 腊月小十六	周四	无	南岳大帝诞	无	辛亥 辛丑 甲申 己巳	无	立春 (2, 4)	猪	水瓶座	祭祀、出行、沐浴、剃头、上表章、上官、竖柱上梁、经络、开市、纳财、扫舍宇、伐木、畋猎、牧养、安葬、临政、搬移、裁制、纳畜、整容、举正直、酝酿、施恩、整手足甲	修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、筑堤防、修仓库、营建、补垣、修饰垣墙、出师
2092-01-25	二零九一 辛亥[猪]年 腊月小十七	周五	无	无	无	辛亥 辛丑 乙酉 辛巳	无	立春 (2, 4)	猪	水瓶座	祭祀、出行、沐浴、剃头、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、牧养、安葬、临政、裁制、开仓、颁诏、恤孤茕、解除、招贤、整容、覃恩、举正直、酝酿、求嗣、雪冤、施恩、宣政事、上册、整手足甲、祈福	宴会、修置产室、开渠、穿井、平治道涂、破屋坏垣、畋猎、修饰垣墙、补垣、取鱼、苫盖
2092-01-26	二零九一 辛亥[猪]年 腊月小十八	周六	无	无	国际海关日	辛亥 辛丑 丙戌 癸巳	无	立春 (2, 4)	猪	水瓶座	祭祀、捕捉、畋猎、入宅	出行、结婚姻、宴会、安床、剃头、求医疗病、上表章、上官、冠带、竖柱上梁、经络、开市、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、裁制、开仓、立券交易、修仓库、鼓铸、颁诏、解除、出师、招贤、布政事、选将、筑堤防、整容、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、修宫室、整手足甲
2092-01-27	二零九一 辛亥[猪]年 腊月小十九	周日	无	无	无	辛亥 辛丑 丁亥 乙巳	无	立春 (2, 4)	猪	水瓶座	沐浴、入学、覃恩、恤孤茕、雪冤	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、立券、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、开张、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、整容、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、取鱼、施恩、宣政事、安抚边境、修饰垣墙、上册、远回、塞穴、整手足甲、修宫室、祈福
2092-01-28	二零九一 辛亥[猪]年 腊月小二十	周一	无	无	无	辛亥 辛丑 戊子 丁巳	无	立春 (2, 4)	猪	水瓶座	祭祀、沐浴、经络、安葬、酝酿、塞穴	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、庆赐、补垣、临政、搬移、开仓、纳采、立券交易、修仓库、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、举正直、针刺、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、远回、修宫室、疗目、祈福
2092-01-29	二零九一 辛亥[猪]年 腊月小廿一	周二	无	天猷上帝诞	无	辛亥 辛丑 己丑 己巳	无	立春 (2, 4)	猪	水瓶座	宴会、经络、纳财、庆赐、裁制、纳畜、举正直、酝酿、施恩、立券交易	剃头、求医疗病、上表章、冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、捕捉、畋猎、栽种、破土、安葬、启攒、补垣、搬移、开仓、颁诏、解除、整容、筑堤防、求嗣、营建、宣政事、取鱼、修饰垣墙、上册、整手足甲、祈福
2092-01-30	二零九一 辛亥[猪]年 腊月小廿二	周三	无	无	无	辛亥 辛丑 庚寅 辛巳	无	立春 (2, 4)	猪	水瓶座	出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、竖柱上梁、纳财、扫舍宇、栽种、牧养、安葬、庆赐、临政、搬移、裁制、开仓、纳采、修仓库、颁诏、解除、恤孤茕、出师、纳畜、招贤、整容、选将、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、上册、整手足甲、修宫室、立券交易、祈福	祭祀、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、布政事、筑堤防、补垣、取鱼、修饰垣墙、鼓铸、塞穴
2092-01-31	二零九一 辛亥[猪]年 腊月小廿三	周四	无	小年	无	辛亥 辛丑 辛卯 癸巳	无	立春 (2, 4)	猪	水瓶座	出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、安葬、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、赴任、入宅、纳畜、解除、出师、选将、求嗣、缮城郭、安抚边境、塞穴、上册、修宫室、祈福	祭祀、剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、鼓铸、颁诏、乘船渡水、招贤、布政事、整容、筑堤防、营建、修饰垣墙、宣政事、整手足甲
