1974-07-01	一九七四 甲寅[虎]年 五月小十二	周一	无	炳灵公诞	中国共产党诞生日,香港回归纪念日	甲寅 庚午 癸卯 丁巳	无	小暑 (7, 7)	虎	巨蟹座	祭祀	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、乘船渡水、出师、纳畜、招贤、布政事、选将、筑堤防、整容、举正直、酝酿、针刺、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、取鱼、上册、塞穴、修宫室、祈福
1974-07-12	一九七四 甲寅[虎]年 五月小廿三	周五	无	无	无	甲寅 辛未 甲寅 己巳	无	大暑 (7, 23)	虎	巨蟹座	宴会、安床、修造、上表章、上官、竖柱上梁、经络、开市、纳财、栽种、牧养、安葬、庆赐、临政、搬移、裁制、修仓库、颁诏、恤孤茕、入宅、纳畜、招贤、覃恩、举正直、酝酿、雪冤、营建、缮城郭、施恩、宣政事、上册、立券交易	祭祀、畋猎、取鱼、整手足甲、乘船渡水
1974-07-13	一九七四 甲寅[虎]年 五月小廿四	周六	无	无	无	甲寅 辛未 乙卯 辛巳	无	大暑 (7, 23)	虎	巨蟹座	出行、结婚姻、宴会、上表章、上官、入学、进人口、竖柱上梁、经络、安碓硙、牧养、庆赐、临政、裁制、纳采、筑堤防、举正直、酝酿、缮城郭、施恩、上册、修宫室	穿井、选将、苫盖、开仓、出师
1974-07-14	一九七四 甲寅[虎]年 五月小廿五	周日	无	无	无	甲寅 辛未 丙辰 癸巳	无	大暑 (7, 23)	虎	巨蟹座	祭祀、进人口、纳财、捕捉、栽种、牧养、纳畜	嫁娶、上表章、冠带、修置产室、开渠、穿井、破土、启攒、修仓库、鼓铸、颁诏、出师、招贤、布政事、选将、筑堤防、营建、安抚边境、宣政事、上册
1974-07-15	一九七四 甲寅[虎]年 五月小廿六	周一	无	无	无	甲寅 辛未 丁巳 乙巳	无	大暑 (7, 23)	虎	巨蟹座	入学、覃恩、恤孤茕、雪冤	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、整容、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、取鱼、施恩、宣政事、安抚边境、修饰垣墙、上册、远回、塞穴、整手足甲、修宫室、祈福
1974-07-16	一九七四 甲寅[虎]年 五月小廿七	周二	无	无	无	甲寅 辛未 戊午 丁巳	无	大暑 (7, 23)	虎	巨蟹座	祭祀、经络、补垣、裁制、赴任、恤孤茕、酝酿、覃恩、雪冤、塞穴、诉讼	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、开市、纳财、修置产室、开渠、穿井、捕捉、畋猎、栽种、牧养、安葬、庆赐、临政、搬移、开仓、纳采、立券交易、修仓库、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、举正直、针刺、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、取鱼、上册、苫盖、修宫室、疗目、祈福
1974-07-17	一九七四 甲寅[虎]年 五月小廿八	周三	无	无	无	甲寅 辛未 己未 己巳	无	大暑 (7, 23)	虎	巨蟹座	出行、宴会、上官、进人口、经络、纳财、牧养、庆赐、临政、搬移、裁制、赴任、颁诏、入宅、恤孤茕、纳畜、招贤、举正直、覃恩、酝酿、雪冤、施恩、宣政事、立券交易	剃头、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、破土、启攒、整容、筑堤防、补垣、取鱼、修饰垣墙、整手足甲
1974-07-18	一九七四 甲寅[虎]年 五月小廿九	周四	无	无	无	甲寅 辛未 庚申 辛巳	无	大暑 (7, 23)	虎	巨蟹座	祭祀、沐浴、扫舍宇	结婚姻、宴会、嫁娶、安床、修造、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、启攒、庆赐、补垣、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、纳畜、招贤、布政事、筑堤防、酝酿、营建、缮城郭、修饰垣墙、宣政事、上册、塞穴、修宫室、立券交易
1974-07-19	一九七四 甲寅[虎]年 六月大初一	周五	无	无	无	甲寅 辛未 辛酉 癸巳	无	大暑 (7, 23)	虎	巨蟹座	沐浴、扫舍宇	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、入宅、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、针刺、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、整手足甲、修宫室、立券交易、祈福
1974-07-20	一九七四 甲寅[虎]年 六月大初二	周六	无	无	无	甲寅 辛未 壬戌 乙巳	无	大暑 (7, 23)	虎	巨蟹座	诸事不宜	诸事不宜
1974-07-21	一九七四 甲寅[虎]年 六月大初三	周日	无	无	无	甲寅 辛未 癸亥 丁巳	无	大暑 (7, 23)	虎	巨蟹座	沐浴、恤孤茕、雪冤	出行、嫁娶、安床、求医疗病、上表章、上官、开市、修置产室、开渠、穿井、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、补垣、搬移、开仓、鼓铸、颁诏、解除、乘船渡水、出师、招贤、布政事、选将、筑堤防、举正直、求嗣、营建、安抚边境、取鱼、施恩、宣政事、修饰垣墙、上册、塞穴、祈福
1974-07-22	一九七四 甲寅[虎]年 六月大初四	周一	无	无	无	甲寅 辛未 甲子 己巳	无	大暑 (7, 23)	虎	巨蟹座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、竖柱上梁、捕捉、栽种、牧养、安葬、庆赐、临政、搬移、裁制、纳采、修仓库、颁诏、入宅、恤孤茕、出师、解除、纳畜、招贤、选将、整容、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、上册、整手足甲、祈福	诸事不忌
1974-07-23	一九七四 甲寅[虎]年 六月大初五	周二	无	无	无	甲寅 辛未 乙丑 辛巳	大暑	立秋 (8, 8)	虎	狮子座	诸事不宜	诸事不宜
1974-07-24	一九七四 甲寅[虎]年 六月大初六	周三	无	无	无	甲寅 辛未 丙寅 癸巳	无	立秋 (8, 8)	虎	狮子座	结婚姻、宴会、安床、经络、开市、纳财、牧养、庆赐、开仓、恤孤茕、纳畜、布政事、选将、覃恩、酝酿、雪冤、安抚边境、立券交易	祭祀、修造、求医疗病、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、补垣、修仓库、解除、筑堤防、求嗣、营建、缮城郭、修饰垣墙、修宫室、整手足甲、祈福
1974-07-25	一九七四 甲寅[虎]年 六月大初七	周四	无	无	无	甲寅 辛未 丁卯 乙巳	无	立秋 (8, 8)	虎	狮子座	出行、宴会、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、牧养、庆赐、临政、裁制、纳采、恤孤茕、布政事、举正直、酝酿、覃恩、雪冤、施恩、上册、立券交易	剃头、求医疗病、修置产室、开渠、穿井、平治道涂、破屋坏垣、营建、选将、整容、补垣、修饰垣墙、苫盖、出师
1974-07-26	一九七四 甲寅[虎]年 六月大初八	周五	无	无	无	甲寅 辛未 戊辰 丁巳	无	立秋 (8, 8)	虎	狮子座	祭祀、纳财、捕捉、恤孤茕、覃恩、雪冤	嫁娶、上表章、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、破土、安葬、启攒、补垣、修仓库、鼓铸、颁诏、出师、招贤、筑堤防、选将、营建、安抚边境、修饰垣墙、宣政事、上册
1974-07-27	一九七四 甲寅[虎]年 六月大初九	周六	无	无	无	甲寅 辛未 己巳 己巳	无	立秋 (8, 8)	虎	狮子座	祭祀、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、庆赐、临政、搬移、裁制、开仓、纳采、修仓库、赴任、解除、恤孤茕、入宅、纳畜、选将、覃恩、求嗣、雪冤、营建、缮城郭、安抚边境、上册、修宫室、祈福	出行、剃头、冠带、平治道涂、破屋坏垣、伐木、畋猎、破土、启攒、补垣、鼓铸、布政事、整容、筑堤防、取鱼、修饰垣墙、塞穴、远回、整手足甲
1974-07-28	一九七四 甲寅[虎]年 六月大初十	周日	无	无	无	甲寅 辛未 庚午 辛巳	无	立秋 (8, 8)	虎	狮子座	安葬、赴任、酝酿、塞穴、诉讼	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、捕捉、畋猎、栽种、牧养、破土、庆赐、补垣、临政、搬移、开仓、纳采、立券交易、修仓库、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、举正直、针刺、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、取鱼、修饰垣墙、上册、苫盖、修宫室、疗目、祈福
1974-07-29	一九七四 甲寅[虎]年 六月大十一	周一	无	无	无	甲寅 辛未 辛未 癸巳	无	立秋 (8, 8)	虎	狮子座	出行、宴会、嫁娶、上官、进人口、经络、纳财、牧养、庆赐、临政、搬移、裁制、纳畜、出师、招贤、选将、举正直、施恩、安抚边境、立券交易	剃头、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、安葬、启攒、整容、筑堤防、营建、补垣、修饰垣墙、上册、整手足甲
1974-07-30	一九七四 甲寅[虎]年 六月大十二	周二	无	无	无	甲寅 辛未 壬申 乙巳	无	立秋 (8, 8)	虎	狮子座	祭祀、沐浴、扫舍宇	结婚姻、宴会、安床、修造、上表章、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、启攒、庆赐、补垣、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、纳畜、招贤、布政事、筑堤防、酝酿、营建、缮城郭、修饰垣墙、宣政事、上册、塞穴、修宫室、立券交易
1974-07-31	一九七四 甲寅[虎]年 六月大十三	周三	无	无	无	甲寅 辛未 癸酉 丁巳	无	立秋 (8, 8)	虎	狮子座	沐浴、扫舍宇	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、入宅、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、针刺、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、整手足甲、修宫室、立券交易、祈福
