2096-05-01	二零九六 丙辰[龙]年 四月小初九	周二	国际劳动节	无	无	丙辰 壬辰 癸未 丁巳	无	立夏 (5, 4)	龙	金牛座	诸事不宜	诸事不宜
2096-05-20	二零九六 丙辰[龙]年 四月小廿八	周日	无	无	无	丙辰 癸巳 壬寅 乙巳	小满	芒种 (6, 4)	龙	金牛座	捕捉、赴任、诉讼	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、招贤、祈福、塞穴、缮城郭、立券交易、出师
2096-05-21	二零九六 丙辰[龙]年 四月小廿九	周一	无	无	无	丙辰 癸巳 癸卯 丁巳	无	芒种 (6, 4)	龙	双子座	入学、恤孤茕、覃恩、雪冤	竖柱上梁、经络、穿井、伐木、畋猎、安葬、纳采、布政事、酝酿、开仓、入宅、筑堤防、安抚边境、营建、补垣、选将、塞穴、取鱼、出师
2096-05-22	二零九六 丙辰[龙]年 闰四月小初一	周二	无	八殿都市王诞	无	丙辰 癸巳 甲辰 己巳	无	芒种 (6, 4)	龙	双子座	诸事不宜	诸事不宜
2096-05-23	二零九六 丙辰[龙]年 闰四月小初二	周三	无	无	世界读书日	丙辰 癸巳 乙巳 辛巳	无	芒种 (6, 4)	龙	双子座	祭祀、宴会、上官、进人口、经络、纳财、牧养、纳畜、举正直、临政、恤孤茕、酝酿、颁诏、裁制、庆赐、覃恩、安抚边境、宣政事、选将、施恩、雪冤、搬移、招贤、立券交易	出行、剃头、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、破土、启攒、补垣、整手足甲、取鱼、修饰垣墙、开仓、筑堤防、整容
2096-05-24	二零九六 丙辰[龙]年 闰四月小初三	周四	无	无	无	丙辰 癸巳 丙午 癸巳	无	芒种 (6, 4)	龙	双子座	祭祀、宴会、沐浴、剃头、扫舍宇、整手足甲、恤孤茕、颁诏、裁制、庆赐、入宅、整容、覃恩、宣政事、雪冤	冠带、修置产室、畋猎、启攒、取鱼、修宫室、乘船渡水、开仓、筑堤防、苫盖
2096-05-25	二零九六 丙辰[龙]年 闰四月小初四	周五	无	文殊菩萨诞	无	丙辰 癸巳 丁未 乙巳	无	芒种 (6, 4)	龙	双子座	诸事不宜	祭祀、出行、结婚姻、嫁娶、安床、剃头、修造、上官、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、解除、酝酿、颁诏、乘船渡水、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、搬移、修饰垣墙、招贤、远回、出师、取鱼
2096-05-26	二零九六 丙辰[龙]年 闰四月小初五	周六	无	无	无	丙辰 癸巳 戊申 丁巳	无	芒种 (6, 4)	龙	双子座	祭祀、沐浴、扫舍宇、平治道涂	上表章、开渠、穿井、启攒、针刺、布政事、上册、颁诏、乘船渡水、筑堤防、安抚边境、营建、补垣、宣政事、选将、塞穴、招贤、出师
2096-05-27	二零九六 丙辰[龙]年 闰四月小初六	周日	无	无	上海解放日	丙辰 癸巳 己酉 己巳	无	芒种 (6, 4)	龙	双子座	祭祀、沐浴、剃头、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、扫舍宇、牧养、安葬、纳畜、举正直、临政、恤孤茕、布政事、求嗣、酝酿、裁制、整容、覃恩、修宫室、施恩、搬移、雪冤、祈福、缮城郭	宴会、上表章、修置产室、上册、苫盖
2096-05-28	二零九六 丙辰[龙]年 闰四月小初七	周一	无	无	无	丙辰 癸巳 庚戌 辛巳	无	芒种 (6, 4)	龙	双子座	祭祀、宴会、沐浴、剃头、上表章、上官、竖柱上梁、捕捉、栽种、牧养、安葬、纳畜、纳采、举正直、整手足甲、临政、恤孤茕、求嗣、解除、上册、颁诏、裁制、庆赐、整容、覃恩、安抚边境、营建、宣政事、选将、施恩、雪冤、招贤、祈福、缮城郭、出师	经络、立券、畋猎、取鱼、开张、开仓
2096-05-29	二零九六 丙辰[龙]年 闰四月小初八	周二	无	释迦牟尼佛诞	无	丙辰 癸巳 辛亥 癸巳	无	芒种 (6, 4)	龙	双子座	沐浴、破屋坏垣、恤孤茕、解除、赴任、入宅、覃恩、雪冤	嫁娶、剃头、冠带、修置产室、开渠、穿井、安碓硙、伐木、捕捉、畋猎、破土、启攒、鼓铸、整手足甲、开仓、整容、筑堤防、补垣、修宫室、修饰垣墙、塞穴、取鱼
2096-05-30	二零九六 丙辰[龙]年 闰四月小初九	周三	无	无	无	丙辰 癸巳 壬子 乙巳	无	芒种 (6, 4)	龙	双子座	沐浴、覃恩、雪冤、恤孤茕	结婚姻、嫁娶、修造、求医疗病、上表章、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、安葬、纳畜、纳采、鼓铸、举正直、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、开仓、筑堤防、营建、补垣、宣政事、施恩、修宫室、修饰垣墙、招贤、祈福、塞穴、缮城郭、立券交易
2096-05-31	二零九六 丙辰[龙]年 闰四月小初十	周四	无	无	世界无烟日	丙辰 癸巳 癸丑 丁巳	无	芒种 (6, 4)	龙	双子座	出行、宴会、修造、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、纳畜、举正直、临政、恤孤茕、布政事、修仓库、上册、酝酿、裁制、庆赐、筑堤防、覃恩、修宫室、施恩、雪冤、缮城郭、立券交易	冠带、选将、取鱼、出师、远回、乘船渡水
