1983-04-01	一九八三 癸亥[猪]年 二月小十八	周五	无	至圣先师孔子讳辰	国际愚人节	癸亥 乙卯 己未 己巳	无	清明 (4, 5)	猪	白羊座	祭祀、出行、宴会、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、牧养、安葬、庆赐、临政、搬移、裁制、颁诏、恤孤茕、纳畜、招贤、覃恩、举正直、酝酿、求嗣、雪冤、营建、缮城郭、施恩、宣政事、修宫室、祈福	修置产室、畋猎、取鱼、针刺、开仓
1983-04-12	一九八三 癸亥[猪]年 二月小廿九	周二	无	无	无	癸亥 丙辰 庚午 辛巳	无	谷雨 (4, 20)	猪	白羊座	诸事不宜	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、入宅、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、苫盖、塞穴、整手足甲、修宫室、祈福
1983-04-13	一九八三 癸亥[猪]年 三月大初一	周三	无	二殿楚江王诞	无	癸亥 丙辰 辛未 癸巳	无	谷雨 (4, 20)	猪	白羊座	诸事不宜	诸事不宜
1983-04-14	一九八三 癸亥[猪]年 三月大初二	周四	无	无	无	癸亥 丙辰 壬申 乙巳	无	谷雨 (4, 20)	猪	白羊座	祭祀、沐浴、扫舍宇、覃恩、恤孤茕、雪冤	安床、开市、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、捕捉、畋猎、启攒、补垣、开仓、鼓铸、布政事、筑堤防、取鱼、修饰垣墙、塞穴、远回
1983-04-15	一九八三 癸亥[猪]年 三月大初三	周五	无	三月三-玄天上帝诞	无	癸亥 丙辰 癸酉 丁巳	无	谷雨 (4, 20)	猪	白羊座	祭祀、出行、结婚姻、嫁娶、沐浴、剃头、修造、求医疗病、上官、进人口、经络、纳财、扫舍宇、捕捉、安葬、临政、搬移、纳采、立券交易、赴任、解除、入宅、纳畜、整容、酝酿、取鱼、安抚边境、整手足甲、祈福	宴会、上表章、冠带、竖柱上梁、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、庆赐、补垣、开仓、修仓库、乘船渡水、出师、招贤、筑堤防、选将、举正直、求嗣、营建、缮城郭、施恩、修饰垣墙、上册、修宫室
1983-04-16	一九八三 癸亥[猪]年 三月大初四	周六	无	无	无	癸亥 丙辰 甲戌 己巳	无	谷雨 (4, 20)	猪	白羊座	祭祀、沐浴、求医疗病、破屋坏垣、解除	结婚姻、宴会、安床、修造、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、伐木、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、裁制、开仓、纳采、修仓库、鼓铸、颁诏、乘船渡水、纳畜、招贤、布政事、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、宣政事、修饰垣墙、取鱼、上册、塞穴、修宫室、立券交易
1983-04-17	一九八三 癸亥[猪]年 三月大初五	周日	无	无	无	癸亥 丙辰 乙亥 辛巳	无	谷雨 (4, 20)	猪	白羊座	安床、沐浴、牧养、取鱼、纳畜	出行、结婚姻、嫁娶、求医疗病、进人口、开市、畋猎、破土、安葬、启攒、开仓、修仓库、祈福、解除、立券交易、乘船渡水、求嗣、纳采
1983-04-18	一九八三 癸亥[猪]年 三月大初六	周一	无	无	无	癸亥 丙辰 丙子 癸巳	无	谷雨 (4, 20)	猪	白羊座	祭祀、结婚姻、宴会、嫁娶、沐浴、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、牧养、安葬、庆赐、临政、裁制、开仓、纳采、立券交易、赴任、解除、纳畜、举正直、酝酿、求嗣、施恩、祈福、诉讼	修置产室、开渠、穿井、平治道涂、破屋坏垣、营建、补垣、修饰垣墙、远回、整手足甲
1983-04-19	一九八三 癸亥[猪]年 三月大初七	周二	无	无	无	癸亥 丙辰 丁丑 乙巳	无	谷雨 (4, 20)	猪	白羊座	进人口、纳财、捕捉、牧养、恤孤茕、纳畜、覃恩、雪冤	剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、破土、启攒、补垣、鼓铸、乘船渡水、布政事、筑堤防、整容、修饰垣墙、取鱼
1983-04-20	一九八三 癸亥[猪]年 三月大初八	周三	无	六殿卞城王诞	无	癸亥 丙辰 戊寅 丁巳	谷雨	立夏 (5, 6)	猪	白羊座	出行、结婚姻、宴会、上表章、上官、入学、竖柱上梁、开市、牧养、庆赐、临政、搬移、裁制、纳采、立券交易、颁诏、恤孤茕、解除、入宅、纳畜、招贤、覃恩、举正直、求嗣、雪冤、施恩、宣政事、上册、祈福	祭祀、平治道涂、破屋坏垣、伐木、畋猎、启攒、筑堤防、补垣、取鱼、修饰垣墙、针刺、乘船渡水、出师
1983-04-21	一九八三 癸亥[猪]年 三月大初九	周四	无	无	无	癸亥 丙辰 己卯 己巳	无	立夏 (5, 6)	猪	金牛座	覃恩、塞穴、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、立券、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、开张、临政、搬移、开仓、纳采、立券交易、修仓库、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、举正直、酝酿、疗目、针刺、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、修宫室、祈福
1983-04-22	一九八三 癸亥[猪]年 三月大初十	周五	无	无	列宁诞辰纪念日	癸亥 丙辰 庚辰 辛巳	无	立夏 (5, 6)	猪	金牛座	祭祀、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、整容、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、宣政事、安抚边境、修饰垣墙、上册、塞穴、整手足甲、修宫室、祈福
1983-04-23	一九八三 癸亥[猪]年 三月大十一	周六	无	无	世界图书和版权日	癸亥 丙辰 辛巳 癸巳	无	立夏 (5, 6)	猪	金牛座	沐浴、扫舍宇、恤孤茕、覃恩、雪冤	出行、结婚姻、嫁娶、安床、修造、上表章、冠带、进人口、竖柱上梁、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、破土、安葬、启攒、补垣、搬移、裁制、纳采、修仓库、鼓铸、颁诏、招贤、筑堤防、求嗣、营建、缮城郭、修饰垣墙、宣政事、上册、塞穴、修宫室、祈福
1983-04-24	一九八三 癸亥[猪]年 三月大十二	周日	无	无	无	癸亥 丙辰 壬午 乙巳	无	立夏 (5, 6)	猪	金牛座	出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、安葬、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、颁诏、恤孤茕、解除、出师、纳畜、招贤、选将、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、塞穴、上册、修宫室、祈福	祭祀、剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、启攒、鼓铸、入宅、整容、筑堤防、取鱼、修饰垣墙、苫盖、整手足甲
1983-04-25	一九八三 癸亥[猪]年 三月大十三	周一	无	无	无	癸亥 丙辰 癸未 丁巳	无	立夏 (5, 6)	猪	金牛座	入宅、覃恩、赴任、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、整容、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、修宫室、整手足甲、祈福
1983-04-26	一九八三 癸亥[猪]年 三月大十四	周二	无	无	世界知识产权日	癸亥 丙辰 甲申 己巳	无	立夏 (5, 6)	猪	金牛座	沐浴、扫舍宇	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、解除、纳畜、出师、乘船渡水、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、安抚边境、施恩、宣政事、修饰垣墙、取鱼、上册、远回、塞穴、整手足甲、修宫室、祈福
1983-04-27	一九八三 癸亥[猪]年 三月大十五	周三	无	昊天上帝诞	无	癸亥 丙辰 乙酉 辛巳	无	立夏 (5, 6)	猪	金牛座	祭祀、出行、结婚姻、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、捕捉、栽种、牧养、安葬、临政、搬移、裁制、纳采、修仓库、颁诏、恤孤茕、纳畜、解除、招贤、整容、选将、覃恩、酝酿、举正直、求嗣、雪冤、营建、缮城郭、取鱼、安抚边境、施恩、宣政事、上册、整手足甲、立券交易、祈福	宴会、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、开仓、筑堤防、补垣、修饰垣墙、修宫室、乘船渡水、出师
1983-04-28	一九八三 癸亥[猪]年 三月大十六	周四	无	准提菩萨诞	无	癸亥 丙辰 丙戌 癸巳	无	立夏 (5, 6)	猪	金牛座	祭祀、沐浴、解除	冠带、修置产室、开渠、穿井、安碓硙、平治道涂、伐木、破土、安葬、启攒、补垣、修仓库、鼓铸、颁诏、乘船渡水、纳畜、招贤、布政事、筑堤防、营建、修饰垣墙、取鱼、宣政事、上册、塞穴
1983-04-29	一九八三 癸亥[猪]年 三月大十七	周五	无	无	无	癸亥 丙辰 丁亥 乙巳	无	立夏 (5, 6)	猪	金牛座	祭祀、结婚姻、宴会、安床、沐浴、上表章、上官、竖柱上梁、纳财、牧养、庆赐、临政、搬移、裁制、纳采、颁诏、恤孤茕、纳畜、招贤、覃恩、举正直、雪冤、施恩、宣政事、上册	嫁娶、剃头、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、破土、启攒、整容、筑堤防、补垣、修饰垣墙、取鱼
1983-04-30	一九八三 癸亥[猪]年 三月大十八	周六	无	无	无	癸亥 丙辰 戊子 丁巳	无	立夏 (5, 6)	猪	金牛座	祭祀、宴会、沐浴、上官、入学、进人口、竖柱上梁、经络、开市、纳财、牧养、庆赐、临政、裁制、纳采、立券交易、赴任、入宅、纳畜、出师、选将、举正直、酝酿、安抚边境、施恩、祈福、诉讼	修置产室、开渠、穿井、平治道涂、破屋坏垣、破土、启攒、补垣、营建、修饰垣墙、远回
