2037-06-01	二零三七 丁巳[蛇]年	四月大	十八	周一	丁巳 乙巳 甲辰 己巳	无	芒种 (6, 5)	无	紫徽大帝诞	国际儿童节	蛇	双子座	诸事不宜	诸事不宜
2037-06-18	二零三七 丁巳[蛇]年	五月小	初五	周四	丁巳 丙午 辛酉 癸巳	无	夏至 (6, 21)	端午节	无	无	蛇	双子座	沐浴、剃头、扫舍宇、平治道涂、覃恩、恤孤茕、雪冤、整容、修饰垣墙、整手足甲	宴会、冠带、立券、修置产室、开渠、穿井、畋猎、启攒、取鱼、开张、布政事、鼓铸、开仓、筑堤防、乘船渡水、修宫室
2037-06-19	二零三七 丁巳[蛇]年	五月小	初六	周五	丁巳 丙午 壬戌 乙巳	无	夏至 (6, 21)	无	无	无	蛇	双子座	祭祀、结婚姻、宴会、嫁娶、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、搬移、祈福、缮城郭、裁制、修宫室、庆赐、入宅、临政、纳畜、酝酿、纳采	求医疗病、开市、修置产室、开渠、穿井、栽种、整手足甲、解除、开仓
2037-06-20	二零三七 丁巳[蛇]年	五月小	初七	周六	丁巳 丙午 癸亥 丁巳	无	夏至 (6, 21)	无	无	无	蛇	双子座	祭祀、沐浴、捕捉、覃恩、恤孤茕、雪冤	嫁娶、安床、剃头、冠带、进人口、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、破土、启攒、修宫室、补垣、取鱼、整容、布政事、修饰垣墙、塞穴、鼓铸、整手足甲、筑堤防
2037-06-21	二零三七 丁巳[蛇]年	五月小	初八	周日	丁巳 丙午 甲子 己巳	夏至	小暑 (7, 7)	无	南方五道诞	父亲节	蛇	双子座	诸事不宜	诸事不宜
2037-06-22	二零三七 丁巳[蛇]年	五月小	初九	周一	丁巳 丙午 乙丑 辛巳	无	小暑 (7, 7)	无	无	无	蛇	巨蟹座	祭祀、覃恩、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、搬移、祈福、缮城郭、裁制、上册、修宫室、开仓、颁诏、求嗣、庆赐、补垣、招贤、整容、布政事、宣政事、安抚边境、施恩、立券交易、修饰垣墙、临政、纳畜、举正直、解除、塞穴、修仓库、酝酿、选将、鼓铸、营建、纳采、整手足甲、出师、筑堤防
2037-06-23	二零三七 丁巳[蛇]年	五月小	初十	周二	丁巳 丙午 丙寅 癸巳	无	小暑 (7, 7)	无	无	无	蛇	巨蟹座	结婚姻、宴会、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、祈福、缮城郭、裁制、上册、修宫室、颁诏、求嗣、覃恩、恤孤茕、雪冤、庆赐、招贤、宣政事、施恩、立券交易、临政、举正直、解除、修仓库、酝酿、营建、纳采、筑堤防	祭祀、畋猎、远回、取鱼
2037-06-24	二零三七 丁巳[蛇]年	五月小	十一	周三	丁巳 丙午 丁卯 乙巳	无	小暑 (7, 7)	无	天下都城隍诞	无	蛇	巨蟹座	祭祀、覃恩、恤孤茕、雪冤、入宅、赴任	剃头、求医疗病、上表章、上官、冠带、竖柱上梁、修置产室、开渠、穿井、畋猎、安葬、缮城郭、开仓、上册、修宫室、颁诏、补垣、取鱼、针刺、招贤、整容、宣政事、安抚边境、施恩、临政、举正直、解除、塞穴、乘船渡水、修仓库、选将、鼓铸、营建、出师、筑堤防
2037-06-25	二零三七 丁巳[蛇]年	五月小	十二	周四	丁巳 丙午 戊辰 丁巳	无	小暑 (7, 7)	无	炳灵公诞	无	蛇	巨蟹座	出行、结婚姻、宴会、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、牧养、诉讼、搬移、祈福、裁制、上册、颁诏、求嗣、覃恩、恤孤茕、雪冤、庆赐、招贤、宣政事、施恩、临政、举正直、解除、赴任、纳采	剃头、平治道涂、破屋坏垣、伐木、畋猎、破土、补垣、取鱼、整容、选将、安抚边境、营建、筑堤防、出师、修饰垣墙
2037-06-26	二零三七 丁巳[蛇]年	五月小	十三	周五	丁巳 丙午 己巳 己巳	无	小暑 (7, 7)	无	关圣降	无	蛇	巨蟹座	祭祀、纳财、栽种、牧养、缮城郭、裁制、补垣、覃恩、恤孤茕、雪冤、安抚边境、塞穴、选将、筑堤防	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、进人口、竖柱上梁、开市、修置产室、开渠、穿井、破土、安葬、启攒、搬移、祈福、开仓、上册、修宫室、颁诏、求嗣、庆赐、针刺、招贤、布政事、宣政事、疗目、施恩、临政、举正直、解除、营建、纳采、出师
2037-06-27	二零三七 丁巳[蛇]年	五月小	十四	周六	丁巳 丙午 庚午 辛巳	无	小暑 (7, 7)	无	无	无	蛇	巨蟹座	诸事不宜	诸事不宜
2037-06-28	二零三七 丁巳[蛇]年	五月小	十五	周日	丁巳 丙午 辛未 癸巳	无	小暑 (7, 7)	无	无	无	蛇	巨蟹座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、修造、上表章、上官、进人口、竖柱上梁、经络、纳财、扫舍宇、栽种、牧养、破土、安葬、搬移、祈福、缮城郭、裁制、上册、颁诏、求嗣、覃恩、恤孤茕、雪冤、庆赐、招贤、宣政事、安抚边境、施恩、立券交易、临政、纳畜、举正直、解除、修仓库、选将、营建、纳采、出师	畋猎、取鱼
2037-06-29	二零三七 丁巳[蛇]年	五月小	十六	周一	丁巳 丙午 壬申 乙巳	无	小暑 (7, 7)	无	天地元气造化万物之辰	无	蛇	巨蟹座	出行、嫁娶、沐浴、剃头、修造、上表章、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、安葬、搬移、缮城郭、裁制、上册、修宫室、补垣、整容、入宅、安抚边境、解除、塞穴、选将、整手足甲、出师	祭祀、结婚姻、安床、开渠、穿井、招贤、举正直、施恩
2037-06-30	二零三七 丁巳[蛇]年	五月小	十七	周二	丁巳 丙午 癸酉 丁巳	无	小暑 (7, 7)	无	无	无	蛇	巨蟹座	沐浴、剃头、扫舍宇、平治道涂、整容、修饰垣墙、整手足甲	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、搬移、祈福、缮城郭、裁制、上册、开仓、修宫室、颁诏、求嗣、庆赐、招贤、布政事、宣政事、安抚边境、施恩、立券交易、临政、纳畜、举正直、解除、修仓库、酝酿、选将、鼓铸、营建、纳采、出师、筑堤防
