2085-05-01	二零八五 乙巳[蛇]年 四月小初八	周二	国际劳动节	释迦牟尼佛诞	无	乙巳 庚辰 乙酉 辛巳	无	立夏 (5, 5)	蛇	金牛座	祭祀、出行、结婚姻、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、捕捉、栽种、牧养、安葬、纳畜、纳采、举正直、整手足甲、临政、恤孤茕、修仓库、求嗣、解除、赴任、上册、酝酿、颁诏、裁制、入宅、整容、覃恩、安抚边境、营建、宣政事、选将、施恩、搬移、雪冤、招贤、祈福、缮城郭、立券交易、取鱼	诸事不忌
2085-05-12	二零八五 乙巳[蛇]年 四月小十九	周六	无	无	无	乙巳 辛巳 丙申 癸巳	无	小满 (5, 20)	蛇	金牛座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、平治道涂、栽种、牧养、安葬、纳畜、纳采、举正直、整手足甲、临政、恤孤茕、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、覃恩、安抚边境、营建、宣政事、选将、施恩、雪冤、修饰垣墙、搬移、招贤、祈福、缮城郭、立券交易、出师	诸事不忌
2085-05-13	二零八五 乙巳[蛇]年 四月小二十	周日	无	眼光圣母诞	母亲节	乙巳 辛巳 丁酉 乙巳	无	小满 (5, 20)	蛇	金牛座	沐浴、修造、冠带、进人口、竖柱上梁、经络、安碓硙、扫舍宇、牧养、安葬、纳畜、整手足甲、酝酿、裁制、修宫室、搬移、缮城郭	出行、宴会、剃头、上表章、修置产室、上册、开仓、苫盖
2085-05-14	二零八五 乙巳[蛇]年 四月小廿一	周一	无	无	无	乙巳 辛巳 戊戌 丁巳	无	小满 (5, 20)	蛇	金牛座	祭祀、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、竖柱上梁、纳财、捕捉、栽种、牧养、纳采、举正直、临政、求嗣、解除、裁制、庆赐、整容、施恩、修宫室、搬移、祈福、缮城郭	修仓库
2085-05-15	二零八五 乙巳[蛇]年 四月小廿二	周二	无	无	无	乙巳 辛巳 己亥 己巳	无	小满 (5, 20)	蛇	金牛座	沐浴、破屋坏垣、解除	嫁娶、剃头、上表章、冠带、修置产室、开渠、穿井、安碓硙、伐木、捕捉、畋猎、破土、安葬、启攒、鼓铸、整手足甲、布政事、修仓库、上册、颁诏、整容、筑堤防、营建、补垣、宣政事、修饰垣墙、塞穴、招贤、取鱼
2085-05-16	二零八五 乙巳[蛇]年 四月小廿三	周三	无	无	无	乙巳 辛巳 庚子 辛巳	无	小满 (5, 20)	蛇	金牛座	祭祀、宴会、沐浴、恤孤茕、颁诏、裁制、庆赐、入宅、覃恩、宣政事、雪冤	冠带、进人口、经络、开市、纳财、修置产室、畋猎、整手足甲、乘船渡水、开仓、筑堤防、修宫室、立券交易、取鱼
2085-05-17	二零八五 乙巳[蛇]年 四月小廿四	周四	无	无	无	乙巳 辛巳 辛丑 癸巳	无	小满 (5, 20)	蛇	金牛座	祭祀、出行、结婚姻、宴会、修造、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、栽种、牧养、安葬、纳畜、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、上册、颁诏、裁制、庆赐、筑堤防、覃恩、营建、宣政事、施恩、修宫室、雪冤、招贤、祈福、缮城郭、立券交易	冠带、畋猎、取鱼、远回、乘船渡水
2085-05-18	二零八五 乙巳[蛇]年 四月小廿五	周五	无	无	无	乙巳 辛巳 壬寅 乙巳	无	小满 (5, 20)	蛇	金牛座	捕捉、赴任、诉讼	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、招贤、祈福、塞穴、缮城郭、立券交易、出师
2085-05-19	二零八五 乙巳[蛇]年 四月小廿六	周六	无	无	无	乙巳 辛巳 癸卯 丁巳	无	小满 (5, 20)	蛇	金牛座	入学、恤孤茕、覃恩、雪冤	竖柱上梁、经络、穿井、伐木、畋猎、安葬、纳采、布政事、酝酿、开仓、入宅、筑堤防、安抚边境、营建、补垣、选将、塞穴、取鱼、出师
2085-05-20	二零八五 乙巳[蛇]年 四月小廿七	周日	无	无	无	乙巳 辛巳 甲辰 己巳	小满	芒种 (6, 5)	蛇	金牛座	诸事不宜	诸事不宜
2085-05-21	二零八五 乙巳[蛇]年 四月小廿八	周一	无	无	无	乙巳 辛巳 乙巳 辛巳	无	芒种 (6, 5)	蛇	双子座	祭祀、宴会、上官、进人口、经络、纳财、牧养、纳畜、举正直、临政、恤孤茕、赴任、酝酿、颁诏、裁制、庆赐、入宅、覃恩、安抚边境、宣政事、选将、施恩、雪冤、搬移、招贤、立券交易	出行、剃头、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、破土、启攒、补垣、整手足甲、取鱼、修饰垣墙、开仓、筑堤防、整容
2085-05-22	二零八五 乙巳[蛇]年 四月小廿九	周二	无	无	无	乙巳 辛巳 丙午 癸巳	无	芒种 (6, 5)	蛇	双子座	祭祀、宴会、沐浴、剃头、扫舍宇、整手足甲、恤孤茕、颁诏、裁制、庆赐、整容、覃恩、宣政事、雪冤	冠带、修置产室、畋猎、启攒、取鱼、修宫室、乘船渡水、开仓、筑堤防、苫盖
2085-05-23	二零八五 乙巳[蛇]年 五月大初一	周三	无	南极长生大帝诞	世界读书日	乙巳 辛巳 丁未 乙巳	无	芒种 (6, 5)	蛇	双子座	诸事不宜	祭祀、出行、结婚姻、嫁娶、安床、剃头、修造、上官、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、解除、酝酿、颁诏、乘船渡水、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、搬移、修饰垣墙、招贤、远回、出师、取鱼
2085-05-24	二零八五 乙巳[蛇]年 五月大初二	周四	无	无	无	乙巳 辛巳 戊申 丁巳	无	芒种 (6, 5)	蛇	双子座	祭祀、沐浴、扫舍宇、平治道涂	上表章、开渠、穿井、启攒、针刺、布政事、上册、颁诏、筑堤防、安抚边境、营建、补垣、宣政事、选将、塞穴、招贤、出师
2085-05-25	二零八五 乙巳[蛇]年 五月大初三	周五	无	无	无	乙巳 辛巳 己酉 己巳	无	芒种 (6, 5)	蛇	双子座	祭祀、沐浴、剃头、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、扫舍宇、牧养、安葬、纳畜、举正直、整手足甲、临政、恤孤茕、布政事、求嗣、酝酿、裁制、整容、覃恩、修宫室、施恩、搬移、雪冤、祈福、缮城郭	宴会、上表章、修置产室、上册、苫盖
2085-05-26	二零八五 乙巳[蛇]年 五月大初四	周六	无	无	无	乙巳 辛巳 庚戌 辛巳	无	芒种 (6, 5)	蛇	双子座	祭祀、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、竖柱上梁、捕捉、栽种、牧养、安葬、纳畜、纳采、举正直、整手足甲、临政、恤孤茕、求嗣、解除、上册、颁诏、裁制、庆赐、入宅、整容、覃恩、安抚边境、营建、宣政事、选将、施恩、雪冤、搬移、招贤、祈福、缮城郭、出师	经络、畋猎、取鱼、开仓
2085-05-27	二零八五 乙巳[蛇]年 五月大初五	周日	端午节	无	上海解放日	乙巳 辛巳 辛亥 癸巳	无	芒种 (6, 5)	蛇	双子座	沐浴、破屋坏垣、恤孤茕、解除、覃恩、雪冤	嫁娶、安床、剃头、冠带、经络、开市、立券、修置产室、开渠、穿井、安碓硙、伐木、捕捉、畋猎、破土、启攒、鼓铸、整手足甲、开张、酝酿、乘船渡水、开仓、整容、筑堤防、补垣、修宫室、修饰垣墙、塞穴、立券交易、取鱼
2085-05-28	二零八五 乙巳[蛇]年 五月大初六	周一	无	无	无	乙巳 辛巳 壬子 乙巳	无	芒种 (6, 5)	蛇	双子座	沐浴、覃恩、雪冤、恤孤茕	结婚姻、嫁娶、修造、求医疗病、上表章、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、安葬、纳畜、纳采、鼓铸、举正直、整手足甲、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、开仓、筑堤防、营建、补垣、宣政事、施恩、修宫室、修饰垣墙、招贤、祈福、塞穴、缮城郭、立券交易
2085-05-29	二零八五 乙巳[蛇]年 五月大初七	周二	无	无	无	乙巳 辛巳 癸丑 丁巳	无	芒种 (6, 5)	蛇	双子座	出行、宴会、修造、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、纳畜、举正直、临政、恤孤茕、布政事、修仓库、上册、酝酿、裁制、庆赐、筑堤防、覃恩、修宫室、施恩、雪冤、缮城郭、立券交易	求医疗病、冠带、选将、取鱼、出师、远回、乘船渡水
2085-05-30	二零八五 乙巳[蛇]年 五月大初八	周三	无	南方五道诞	无	乙巳 辛巳 甲寅 己巳	无	芒种 (6, 5)	蛇	双子座	捕捉、赴任、诉讼	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、招贤、祈福、塞穴、缮城郭、立券交易、出师
2085-05-31	二零八五 乙巳[蛇]年 五月大初九	周四	无	无	世界无烟日	乙巳 辛巳 乙卯 辛巳	无	芒种 (6, 5)	蛇	双子座	祭祀、出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、安碓硙、栽种、牧养、纳畜、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、赴任、上册、颁诏、裁制、庆赐、入宅、覃恩、安抚边境、营建、宣政事、选将、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭、立券交易、出师	剃头、冠带、穿井、破屋坏垣、伐木、畋猎、补垣、鼓铸、整手足甲、取鱼、修饰垣墙、塞穴、开仓、布政事、筑堤防、整容
