2046-12-01	二零四六 丙寅[虎]年 冬月小初四	周六	无	至圣先师孔子诞	世界艾滋病日	丙寅 己亥 甲午 己巳	无	大雪 (12, 7)	虎	射手座	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、竖柱上梁、纳财、伐木、栽种、牧养、安葬、庆赐、临政、搬移、裁制、开仓、纳采、修仓库、颁诏、恤孤茕、解除、出师、纳畜、招贤、选将、覃恩、举正直、求嗣、雪冤、营建、缮城郭、安抚边境、施恩、宣政事、上册、修宫室、祈福	冠带、修置产室、畋猎、筑堤防、取鱼、苫盖
2046-12-18	二零四六 丙寅[虎]年 冬月小廿一	周二	无	无	无	丙寅 庚子 辛亥 癸巳	无	冬至 (12, 22)	虎	射手座	沐浴、补垣、裁制、赴任、入宅、恤孤茕、筑堤防、选将、覃恩、雪冤、安抚边境、塞穴	结婚姻、嫁娶、上表章、竖柱上梁、立券、修置产室、开渠、穿井、破土、安葬、启攒、开张、开仓、解除、出师、针刺、求嗣、营建、上册、修宫室、整手足甲、疗目、祈福
2046-12-19	二零四六 丙寅[虎]年 冬月小廿二	周三	无	无	无	丙寅 庚子 壬子 乙巳	无	冬至 (12, 22)	虎	射手座	祭祀、沐浴、覃恩、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、整容、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、取鱼、施恩、宣政事、安抚边境、修饰垣墙、上册、远回、塞穴、整手足甲、修宫室、立券交易、祈福
2046-12-20	二零四六 丙寅[虎]年 冬月小廿三	周四	无	张仙诞	无	丙寅 庚子 癸丑 丁巳	无	冬至 (12, 22)	虎	射手座	祭祀、宴会、沐浴、剃头、上官、进人口、经络、纳财、扫舍宇、庆赐、临政、裁制、解除、恤孤茕、整容、布政事、覃恩、酝酿、举正直、雪冤、施恩、立券交易、祈福	修造、冠带、破土、启攒、修仓库、乘船渡水、纳采
2046-12-21	二零四六 丙寅[虎]年 冬月小廿四	周五	无	无	无	丙寅 庚子 甲寅 己巳	无	冬至 (12, 22)	虎	射手座	宴会、修造、上表章、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、庆赐、补垣、裁制、立券交易、解除、求嗣、缮城郭、塞穴、上册、修宫室、祈福	祭祀、嫁娶、招贤、取鱼、远回、乘船渡水
2046-12-22	二零四六 丙寅[虎]年 冬月小廿五	周六	无	无	无	丙寅 庚子 乙卯 辛巳	冬至	小寒 (1, 5)	虎	射手座	诸事不宜	诸事不宜
2046-12-23	二零四六 丙寅[虎]年 冬月小廿六	周日	无	北方五道诞	无	丙寅 庚子 丙辰 癸巳	无	小寒 (1, 5)	虎	摩羯座	祭祀、结婚姻、宴会、嫁娶、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、安葬、庆赐、临政、搬移、裁制、纳采、赴任、入宅、纳畜、酝酿、缮城郭、修宫室、祈福、诉讼	求医疗病、开市、修置产室、栽种、开仓、解除
2046-12-24	二零四六 丙寅[虎]年 冬月小廿七	周一	无	无	平安夜	丙寅 庚子 丁巳 乙巳	无	小寒 (1, 5)	虎	摩羯座	祭祀、捕捉、恤孤茕、覃恩、雪冤	出行、剃头、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、破土、启攒、补垣、鼓铸、整容、布政事、筑堤防、取鱼、修饰垣墙、塞穴、整手足甲、修宫室
2046-12-25	二零四六 丙寅[虎]年 冬月小廿八	周二	无	无	圣诞节	丙寅 庚子 戊午 丁巳	无	小寒 (1, 5)	虎	摩羯座	诸事不宜	诸事不宜
2046-12-26	二零四六 丙寅[虎]年 冬月小廿九	周三	无	无	毛泽东诞辰纪念日	丙寅 庚子 己未 己巳	无	小寒 (1, 5)	虎	摩羯座	伐木、畋猎	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、整手足甲、修宫室、立券交易、祈福
2046-12-27	二零四六 丙寅[虎]年 腊月大初一	周四	无	无	无	丙寅 庚子 庚申 辛巳	无	小寒 (1, 5)	虎	摩羯座	沐浴、剃头、上官、入学、竖柱上梁、扫舍宇、牧养、安葬、临政、裁制、解除、整容、举正直、酝酿、施恩	安床、修置产室、开渠、穿井、平治道涂、破屋坏垣、补垣、开仓、鼓铸、乘船渡水、出师、选将、营建、取鱼、修饰垣墙、塞穴
2046-12-28	二零四六 丙寅[虎]年 腊月大初二	周五	无	无	无	丙寅 庚子 辛酉 癸巳	无	小寒 (1, 5)	虎	摩羯座	沐浴、剃头、扫舍宇、捕捉、畋猎、赴任、入宅、整容、整手足甲	祭祀、结婚姻、宴会、上表章、上官、冠带、竖柱上梁、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、启攒、庆赐、补垣、临政、裁制、开仓、修仓库、鼓铸、颁诏、乘船渡水、出师、招贤、布政事、选将、筑堤防、举正直、求嗣、营建、缮城郭、施恩、安抚边境、修饰垣墙、宣政事、取鱼、上册、修宫室、祈福
2046-12-29	二零四六 丙寅[虎]年 腊月大初三	周六	无	无	无	丙寅 庚子 壬戌 乙巳	无	小寒 (1, 5)	虎	摩羯座	宴会、入学、竖柱上梁、开市、修置产室、安碓硙、栽种、牧养、庆赐、裁制、纳采、解除、恤孤茕、纳畜、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、修宫室、祈福	进人口、开渠、伐木、捕捉、畋猎、取鱼、开仓
2046-12-30	二零四六 丙寅[虎]年 腊月大初四	周日	无	无	无	丙寅 庚子 癸亥 丁巳	无	小寒 (1, 5)	虎	摩羯座	沐浴、补垣、裁制、恤孤茕、筑堤防、覃恩、雪冤、塞穴	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、进人口、竖柱上梁、开市、纳财、修置产室、开渠、穿井、破土、安葬、启攒、庆赐、临政、搬移、开仓、纳采、修仓库、颁诏、解除、出师、招贤、布政事、选将、举正直、疗目、针刺、求嗣、营建、施恩、安抚边境、宣政事、上册、修宫室、立券交易、祈福
2046-12-31	二零四六 丙寅[虎]年 腊月大初五	周一	无	无	无	丙寅 庚子 甲子 己巳	无	小寒 (1, 5)	虎	摩羯座	诸事不宜	诸事不宜
