2059-05-01	二零五九 己卯[兔]年 三月大二十	周四	国际劳动节	子孙娘娘诞	无	己卯 戊辰 戊辰 丁巳	无	立夏 (5, 5)	兔	金牛座	恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、开仓、庆赐、整容、筑堤防、营建、安抚边境、补垣、宣政事、选将、修宫室、施恩、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、出师
2059-05-12	二零五九 己卯[兔]年 四月小初一	周一	无	八殿都市王诞	无	己卯 己巳 己卯 己巳	无	小满 (5, 21)	兔	金牛座	祭祀、出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、安碓硙、栽种、牧养、纳畜、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、赴任、上册、颁诏、裁制、庆赐、开仓、入宅、覃恩、宣政事、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭、立券交易	剃头、冠带、穿井、平治道涂、破屋坏垣、伐木、畋猎、安葬、启攒、鼓铸、整手足甲、整容、筑堤防、安抚边境、营建、补垣、选将、修饰垣墙、塞穴、取鱼、出师
2059-05-13	二零五九 己卯[兔]年 四月小初二	周二	无	无	无	己卯 己巳 庚辰 辛巳	无	小满 (5, 21)	兔	金牛座	祭祀、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、栽种、牧养、安葬、纳畜、纳采、针刺、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、营建、安抚边境、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、出师、取鱼、疗目
2059-05-14	二零五九 己卯[兔]年 四月小初三	周三	无	无	无	己卯 己巳 辛巳 癸巳	无	小满 (5, 21)	兔	金牛座	祭祀、宴会、上官、进人口、经络、纳财、牧养、纳畜、举正直、临政、恤孤茕、颁诏、裁制、庆赐、覃恩、宣政事、施恩、雪冤、搬移、招贤、立券交易	出行、剃头、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、破土、启攒、补垣、筑堤防、整手足甲、取鱼、修饰垣墙、开仓、整容
2059-05-15	二零五九 己卯[兔]年 四月小初四	周四	无	文殊菩萨诞	无	己卯 己巳 壬午 乙巳	无	小满 (5, 21)	兔	金牛座	祭祀、宴会、沐浴、剃头、扫舍宇、整手足甲、恤孤茕、布政事、庆赐、整容、覃恩、雪冤	结婚姻、嫁娶、安床、修造、上表章、冠带、进人口、竖柱上梁、开市、纳财、修置产室、开渠、穿井、栽种、牧养、纳畜、纳采、修仓库、求嗣、上册、乘船渡水、开仓、筑堤防、营建、修宫室、搬移、招贤、缮城郭、苫盖、立券交易、取鱼
2059-05-16	二零五九 己卯[兔]年 四月小初五	周五	无	无	无	己卯 己巳 癸未 丁巳	无	小满 (5, 21)	兔	金牛座	覃恩、雪冤、恤孤茕、布政事	祭祀、出行、结婚姻、嫁娶、安床、剃头、修造、上官、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、解除、酝酿、颁诏、乘船渡水、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、搬移、修饰垣墙、招贤、远回、出师、取鱼
2059-05-17	二零五九 己卯[兔]年 四月小初六	周六	无	无	无	己卯 己巳 甲申 己巳	无	小满 (5, 21)	兔	金牛座	祭祀、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、进人口、经络、开市、纳财、扫舍宇、平治道涂、栽种、牧养、安葬、纳畜、纳采、整手足甲、临政、求嗣、解除、酝酿、开仓、入宅、整容、搬移、修饰垣墙、祈福、立券交易	出行、安床、冠带、竖柱上梁、修置产室、开渠、穿井、安碓硙、破屋坏垣、针刺、鼓铸、举正直、布政事、修仓库、上册、颁诏、乘船渡水、裁制、庆赐、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、塞穴、招贤、缮城郭、出师、取鱼
2059-05-18	二零五九 己卯[兔]年 四月小初七	周日	无	无	无	己卯 己巳 乙酉 辛巳	无	小满 (5, 21)	兔	金牛座	祭祀、沐浴、剃头、上官、冠带、进人口、竖柱上梁、经络、安碓硙、扫舍宇、牧养、安葬、纳畜、举正直、整手足甲、临政、恤孤茕、求嗣、酝酿、颁诏、裁制、整容、覃恩、营建、宣政事、施恩、修宫室、雪冤、招贤、祈福、缮城郭	宴会、立券、修置产室、畋猎、开张、取鱼、开仓、苫盖
2059-05-19	二零五九 己卯[兔]年 四月小初八	周一	无	释迦牟尼佛诞	无	己卯 己巳 丙戌 癸巳	无	小满 (5, 21)	兔	金牛座	祭祀、宴会、沐浴、剃头、上表章、捕捉、举正直、整手足甲、恤孤茕、求嗣、上册、颁诏、裁制、庆赐、整容、覃恩、宣政事、施恩、雪冤、招贤、祈福	冠带、修置产室、畋猎、破土、启攒、取鱼、修宫室、开仓、筑堤防
2059-05-20	二零五九 己卯[兔]年 四月小初九	周二	无	无	无	己卯 己巳 丁亥 乙巳	无	小满 (5, 21)	兔	金牛座	沐浴、破屋坏垣	祭祀、结婚姻、宴会、嫁娶、安床、剃头、修造、上表章、上官、冠带、竖柱上梁、经络、开市、修置产室、开渠、穿井、安碓硙、伐木、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、营建、补垣、宣政事、施恩、修宫室、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、取鱼
2059-05-21	二零五九 己卯[兔]年 四月小初十	周三	无	无	无	己卯 己巳 戊子 丁巳	小满	芒种 (6, 5)	兔	双子座	祭祀、宴会、沐浴、裁制、庆赐	上表章、冠带、修置产室、安葬、纳畜、营建、上册、招贤、筑堤防、修仓库
2059-05-22	二零五九 己卯[兔]年 四月小十一	周四	无	无	无	己卯 己巳 己丑 己巳	无	芒种 (6, 5)	兔	双子座	祭祀、出行、结婚姻、宴会、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、牧养、纳畜、纳采、举正直、临政、求嗣、解除、赴任、上册、酝酿、裁制、庆赐、开仓、入宅、施恩、祈福、立券交易	冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、破土、营建、补垣、选将、远回、取鱼、出师、修饰垣墙、乘船渡水
2059-05-23	二零五九 己卯[兔]年 四月小十二	周五	无	无	世界读书日	己卯 己巳 庚寅 辛巳	无	芒种 (6, 5)	兔	双子座	出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、进人口、竖柱上梁、纳财、捕捉、栽种、牧养、安葬、纳畜、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、赴任、上册、颁诏、裁制、庆赐、覃恩、安抚边境、营建、宣政事、选将、施恩、雪冤、搬移、招贤、祈福、缮城郭、立券交易、出师、诉讼	祭祀、安床、剃头、冠带、经络、开市、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、启攒、鼓铸、整手足甲、布政事、酝酿、开仓、整容、筑堤防、补垣、修宫室、修饰垣墙、塞穴、取鱼
2059-05-24	二零五九 己卯[兔]年 四月小十三	周六	无	无	无	己卯 己巳 辛卯 癸巳	无	芒种 (6, 5)	兔	双子座	祭祀、出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、安碓硙、栽种、牧养、纳畜、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、上册、颁诏、裁制、庆赐、覃恩、安抚边境、营建、宣政事、选将、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭、立券交易、出师	安床、剃头、冠带、进人口、经络、穿井、破屋坏垣、伐木、畋猎、鼓铸、整手足甲、布政事、酝酿、开仓、入宅、整容、筑堤防、补垣、修饰垣墙、塞穴、取鱼
2059-05-25	二零五九 己卯[兔]年 四月小十四	周日	无	纯阳祖师诞	无	己卯 己巳 壬辰 乙巳	无	芒种 (6, 5)	兔	双子座	诸事不宜	诸事不宜
2059-05-26	二零五九 己卯[兔]年 四月小十五	周一	无	钟离祖师诞	无	己卯 己巳 癸巳 丁巳	无	芒种 (6, 5)	兔	双子座	宴会、上官、进人口、经络、纳财、纳畜、举正直、临政、恤孤茕、酝酿、颁诏、裁制、庆赐、覃恩、安抚边境、宣政事、选将、施恩、雪冤、招贤、立券交易	出行、剃头、求医疗病、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、栽种、破土、安葬、启攒、整手足甲、求嗣、解除、上册、开仓、整容、筑堤防、营建、补垣、修饰垣墙、祈福
2059-05-27	二零五九 己卯[兔]年 四月小十六	周二	无	无	上海解放日	己卯 己巳 甲午 己巳	无	芒种 (6, 5)	兔	双子座	祭祀、宴会、沐浴、剃头、扫舍宇、安葬、整手足甲、恤孤茕、颁诏、裁制、庆赐、入宅、整容、覃恩、宣政事、雪冤	冠带、修置产室、畋猎、筑堤防、取鱼、修宫室、乘船渡水、开仓、苫盖
2059-05-28	二零五九 己卯[兔]年 四月小十七	周三	无	十殿转轮王诞	无	己卯 己巳 乙未 辛巳	无	芒种 (6, 5)	兔	双子座	覃恩、雪冤、恤孤茕	祭祀、剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、启攒、鼓铸、整手足甲、布政事、乘船渡水、整容、筑堤防、补垣、修饰垣墙、远回、取鱼
2059-05-29	二零五九 己卯[兔]年 四月小十八	周四	无	紫徽大帝诞	无	己卯 己巳 丙申 癸巳	无	芒种 (6, 5)	兔	双子座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、平治道涂、栽种、牧养、安葬、纳畜、纳采、举正直、整手足甲、临政、恤孤茕、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、覃恩、安抚边境、营建、宣政事、选将、施恩、雪冤、修饰垣墙、搬移、招贤、祈福、缮城郭、立券交易、出师	诸事不忌
2059-05-30	二零五九 己卯[兔]年 四月小十九	周五	无	无	无	己卯 己巳 丁酉 乙巳	无	芒种 (6, 5)	兔	双子座	沐浴、冠带、进人口、竖柱上梁、经络、安碓硙、扫舍宇、牧养、安葬、纳畜、酝酿、裁制、修宫室、缮城郭	出行、宴会、剃头、上表章、修置产室、上册、开仓、苫盖
2059-05-31	二零五九 己卯[兔]年 四月小二十	周六	无	眼光圣母诞	世界无烟日	己卯 己巳 戊戌 丁巳	无	芒种 (6, 5)	兔	双子座	祭祀、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、竖柱上梁、纳财、捕捉、栽种、牧养、纳采、举正直、整手足甲、临政、求嗣、解除、裁制、庆赐、整容、施恩、修宫室、搬移、祈福、缮城郭	修仓库
