1955-01-01	一九五四 甲午[马]年 腊月大初八	周六	元旦节	腊八节-释迦如来成佛之辰	无	甲午 丙子 壬戌 乙巳	无	小寒 (1, 6)	马	摩羯座	结婚姻、宴会、入学、竖柱上梁、开市、修置产室、安碓硙、栽种、牧养、纳畜、纳采、举正直、恤孤茕、求嗣、解除、裁制、庆赐、覃恩、营建、施恩、修宫室、雪冤、祈福、缮城郭	进人口、开渠、伐木、捕捉、畋猎、取鱼、开仓
1955-01-12	一九五四 甲午[马]年 腊月大十九	周三	无	无	无	甲午 丁丑 癸酉 丁巳	无	大寒 (1, 21)	马	摩羯座	出行、沐浴、剃头、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、安碓硙、扫舍宇、栽种、牧养、安葬、举正直、临政、解除、上册、酝酿、裁制、整容、筑堤防、修宫室、施恩、缮城郭	宴会、立券、畋猎、选将、开张、出师、苫盖
1955-01-13	一九五四 甲午[马]年 腊月大二十	周四	无	无	无	甲午 丁丑 甲戌 己巳	无	大寒 (1, 21)	马	摩羯座	祭祀、捕捉、畋猎、入宅	剃头、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、破土、安葬、启攒、鼓铸、整手足甲、布政事、修仓库、上册、颁诏、乘船渡水、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、修饰垣墙、塞穴、招贤、出师、取鱼
1955-01-14	一九五四 甲午[马]年 腊月大廿一	周五	无	天猷上帝诞	无	甲午 丁丑 乙亥 辛巳	无	大寒 (1, 21)	马	摩羯座	祭祀、出行、结婚姻、宴会、沐浴、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、栽种、牧养、纳畜、纳采、临政、恤孤茕、修仓库、求嗣、解除、上册、裁制、庆赐、开仓、覃恩、安抚边境、营建、选将、修宫室、雪冤、搬移、祈福、缮城郭、出师	嫁娶、剃头、冠带、平治道涂、破屋坏垣、伐木、畋猎、破土、启攒、鼓铸、整手足甲、布政事、整容、筑堤防、补垣、修饰垣墙、塞穴、远回、取鱼
1955-01-15	一九五四 甲午[马]年 腊月大廿二	周六	无	无	无	甲午 丁丑 丙子 癸巳	无	大寒 (1, 21)	马	摩羯座	祭祀、沐浴、经络、安葬、酝酿、塞穴	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、纳畜、纳采、针刺、举正直、临政、布政事、修仓库、求嗣、解除、上册、颁诏、庆赐、开仓、筑堤防、营建、安抚边境、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、招贤、祈福、缮城郭、立券交易、远回、出师、疗目
1955-01-16	一九五四 甲午[马]年 腊月大廿三	周日	无	小年	无	甲午 丁丑 丁丑 乙巳	无	大寒 (1, 21)	马	摩羯座	宴会、经络、纳财、纳畜、举正直、酝酿、裁制、庆赐、施恩、立券交易	剃头、求医疗病、上表章、冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、捕捉、畋猎、栽种、破土、安葬、启攒、整手足甲、求嗣、解除、上册、颁诏、乘船渡水、开仓、整容、筑堤防、营建、补垣、宣政事、搬移、修饰垣墙、祈福、取鱼
1955-01-17	一九五四 甲午[马]年 腊月大廿四	周一	无	子时灶君上天朝玉帝	无	甲午 丁丑 戊寅 丁巳	无	大寒 (1, 21)	马	摩羯座	沐浴、扫舍宇	祭祀、上表章、开渠、穿井、安葬、启攒、布政事、上册、颁诏、筑堤防、营建、补垣、宣政事、塞穴、招贤
1955-01-18	一九五四 甲午[马]年 腊月大廿五	周二	无	无	无	甲午 丁丑 己卯 己巳	无	大寒 (1, 21)	马	摩羯座	出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、破土、安葬、纳畜、纳采、恤孤茕、布政事、修仓库、赴任、上册、裁制、开仓、庆赐、入宅、覃恩、补垣、安抚边境、选将、修宫室、搬移、雪冤、塞穴、祈福、缮城郭、立券交易、出师	祭祀、剃头、上官、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、启攒、鼓铸、举正直、整手足甲、临政、求嗣、解除、颁诏、整容、筑堤防、营建、宣政事、施恩、修饰垣墙、招贤
1955-01-19	一九五四 甲午[马]年 腊月大廿六	周三	无	无	无	甲午 丁丑 庚辰 辛巳	无	大寒 (1, 21)	马	摩羯座	祭祀、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、招贤、祈福、塞穴、缮城郭、立券交易、出师、取鱼
1955-01-20	一九五四 甲午[马]年 腊月大廿七	周四	无	无	无	甲午 丁丑 辛巳 癸巳	无	大寒 (1, 21)	马	水瓶座	祭祀、宴会、上官、冠带、竖柱上梁、经络、牧养、纳畜、纳采、举正直、临政、恤孤茕、布政事、求嗣、裁制、庆赐、覃恩、施恩、雪冤、搬移、祈福	出行、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、破土、安葬、启攒、鼓铸、上册、乘船渡水、筑堤防、安抚边境、补垣、营建、选将、修饰垣墙、塞穴、出师、取鱼
1955-01-21	一九五四 甲午[马]年 腊月大廿八	周五	无	无	列宁逝世纪念日	甲午 丁丑 壬午 乙巳	大寒	立春 (2, 4)	马	水瓶座	沐浴、剃头、捕捉、畋猎、整手足甲、恤孤茕、布政事、赴任、整容、覃恩、雪冤、诉讼	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、纳畜、纳采、举正直、临政、修仓库、求嗣、解除、上册、酝酿、乘船渡水、庆赐、开仓、筑堤防、安抚边境、营建、补垣、选将、施恩、修宫室、搬移、修饰垣墙、招贤、祈福、缮城郭、苫盖、立券交易、出师、取鱼
1955-01-22	一九五四 甲午[马]年 腊月大廿九	周六	无	华严菩萨诞	无	甲午 丁丑 癸未 丁巳	无	立春 (2, 4)	马	水瓶座	恤孤茕、覃恩、雪冤	剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、伐木、启攒、鼓铸、整手足甲、开仓、整容、筑堤防、补垣、修宫室、修饰垣墙、塞穴、出师
1955-01-23	一九五四 甲午[马]年 腊月大三十	周日	无	除夕	无	甲午 丁丑 甲申 己巳	无	立春 (2, 4)	马	水瓶座	祭祀、出行、嫁娶、沐浴、剃头、上表章、上官、竖柱上梁、经络、开市、纳财、扫舍宇、伐木、畋猎、牧养、安葬、纳畜、举正直、整手足甲、临政、酝酿、裁制、入宅、整容、施恩、搬移	修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、营建、筑堤防、补垣、出师、修饰垣墙、修仓库
1955-01-24	一九五五 乙未[羊]年 正月小初一	周一	春节	弥勒佛圣诞	无	乙未 丁丑 乙酉 辛巳	无	立春 (2, 4)	羊	水瓶座	祭祀、出行、沐浴、剃头、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、牧养、安葬、举正直、临政、恤孤茕、求嗣、解除、赴任、上册、酝酿、颁诏、裁制、开仓、入宅、整容、覃恩、宣政事、施恩、雪冤、招贤、祈福	宴会、修置产室、开渠、穿井、平治道涂、破屋坏垣、畋猎、补垣、取鱼、修饰垣墙、苫盖
1955-01-25	一九五五 乙未[羊]年 正月小初二	周二	无	无	无	乙未 丁丑 丙戌 癸巳	无	立春 (2, 4)	羊	水瓶座	祭祀、捕捉、畋猎	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、出师
1955-01-26	一九五五 乙未[羊]年 正月小初三	周三	无	无	国际海关日	乙未 丁丑 丁亥 乙巳	无	立春 (2, 4)	羊	水瓶座	沐浴、入学、覃恩、雪冤、恤孤茕	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、远回、取鱼、出师
1955-01-27	一九五五 乙未[羊]年 正月小初四	周四	无	无	无	乙未 丁丑 戊子 丁巳	无	立春 (2, 4)	羊	水瓶座	祭祀、沐浴、经络、安葬、酝酿、塞穴	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、纳畜、纳采、针刺、举正直、临政、布政事、修仓库、求嗣、解除、上册、颁诏、庆赐、开仓、筑堤防、营建、安抚边境、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、招贤、祈福、缮城郭、立券交易、远回、出师、疗目
1955-01-28	一九五五 乙未[羊]年 正月小初五	周五	无	无	无	乙未 丁丑 己丑 己巳	无	立春 (2, 4)	羊	水瓶座	宴会、经络、纳财、纳畜、举正直、酝酿、裁制、庆赐、施恩、立券交易	剃头、求医疗病、上表章、冠带、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、捕捉、畋猎、栽种、破土、安葬、启攒、整手足甲、求嗣、解除、上册、颁诏、乘船渡水、开仓、整容、筑堤防、营建、补垣、宣政事、搬移、修饰垣墙、祈福、取鱼
1955-01-29	一九五五 乙未[羊]年 正月小初六	周六	无	无	无	乙未 丁丑 庚寅 辛巳	无	立春 (2, 4)	羊	水瓶座	出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、竖柱上梁、纳财、扫舍宇、栽种、牧养、安葬、纳畜、纳采、举正直、整手足甲、临政、恤孤茕、修仓库、求嗣、解除、上册、颁诏、裁制、庆赐、开仓、入宅、整容、覃恩、安抚边境、营建、宣政事、选将、施恩、修宫室、雪冤、搬移、招贤、祈福、缮城郭、立券交易、出师	祭祀、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、补垣、鼓铸、取鱼、修饰垣墙、塞穴、布政事、筑堤防
1955-01-30	一九五五 乙未[羊]年 正月小初七	周日	无	无	无	乙未 丁丑 辛卯 癸巳	无	立春 (2, 4)	羊	水瓶座	诸事不宜	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、入宅、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、出师
1955-01-31	一九五五 乙未[羊]年 正月小初八	周一	无	五殿阎罗天子诞	无	乙未 丁丑 壬辰 乙巳	无	立春 (2, 4)	羊	水瓶座	诸事不宜	诸事不宜
