1993-10-01	一九九三 癸酉[鸡]年 八月小十六	周五	国庆节	天曹掠刷真君降	无	癸酉 辛酉 乙卯 辛巳	无	寒露 (10, 8)	鸡	天秤座	诸事不宜	诸事不宜
1993-10-12	一九九三 癸酉[鸡]年 八月小廿七	周二	无	无	无	癸酉 壬戌 丙寅 癸巳	无	霜降 (10, 23)	鸡	天秤座	覃恩、恤孤茕、雪冤、布政事	祭祀、安床、剃头、开市、立券、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、补垣、开张、开仓、鼓铸、乘船渡水、整容、筑堤防、取鱼、修饰垣墙、塞穴、远回、整手足甲
1993-10-13	一九九三 癸酉[鸡]年 八月小廿八	周三	无	无	中国少年先锋队诞辰日	癸酉 壬戌 丁卯 乙巳	无	霜降 (10, 23)	鸡	天秤座	祭祀、结婚姻、宴会、嫁娶、上官、进人口、经络、纳财、捕捉、安葬、庆赐、临政、恤孤茕、纳畜、布政事、覃恩、酝酿、雪冤、安抚边境、立券交易、祈福	出行、安床、剃头、修造、求医疗病、上表章、冠带、竖柱上梁、开市、修置产室、穿井、栽种、牧养、搬移、开仓、纳采、修仓库、解除、乘船渡水、出师、招贤、整容、选将、筑堤防、举正直、求嗣、营建、缮城郭、施恩、取鱼、上册、修宫室
1993-10-14	一九九三 癸酉[鸡]年 八月小廿九	周四	无	至圣先师孔子诞	无	癸酉 壬戌 戊辰 丁巳	无	霜降 (10, 23)	鸡	天秤座	祭祀、沐浴、入宅、恤孤茕、覃恩、雪冤	出行、结婚姻、安床、上官、冠带、进人口、竖柱上梁、经络、开市、修置产室、开渠、穿井、安碓硙、平治道涂、伐木、捕捉、畋猎、破土、安葬、启攒、补垣、临政、开仓、修仓库、鼓铸、颁诏、招贤、筑堤防、举正直、酝酿、营建、缮城郭、施恩、宣政事、修饰垣墙、取鱼、上册、塞穴、修宫室、立券交易
1993-10-15	一九九三 癸酉[鸡]年 九月大初一	周五	无	北斗九星降世	无	癸酉 壬戌 己巳 己巳	无	霜降 (10, 23)	鸡	天秤座	祭祀、安床、选将、安抚边境、恤孤茕、雪冤	出行、嫁娶、修造、求医疗病、破土、安葬、启攒、修仓库、整手足甲、针刺、解除、纳畜、开仓
1993-10-16	一九九三 癸酉[鸡]年 九月大初二	周六	无	无	无	癸酉 壬戌 庚午 辛巳	无	霜降 (10, 23)	鸡	天秤座	祭祀、出行、结婚姻、宴会、嫁娶、修造、求医疗病、上官、入学、进人口、竖柱上梁、开市、纳财、安碓硙、栽种、牧养、安葬、庆赐、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、解除、纳畜、筑堤防、举正直、酝酿、求嗣、缮城郭、施恩、修宫室、祈福	苫盖
1993-10-17	一九九三 癸酉[鸡]年 九月大初三	周日	无	五瘟神诞	无	癸酉 壬戌 辛未 癸巳	无	霜降 (10, 23)	鸡	天秤座	祭祀、捕捉、恤孤茕、覃恩、雪冤	剃头、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、启攒、补垣、开仓、鼓铸、乘船渡水、布政事、筑堤防、整容、取鱼、修饰垣墙、塞穴、修宫室、整手足甲
1993-10-18	一九九三 癸酉[鸡]年 九月大初四	周一	无	无	无	癸酉 壬戌 壬申 乙巳	无	霜降 (10, 23)	鸡	天秤座	出行、沐浴、剃头、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、安碓硙、扫舍宇、栽种、牧养、临政、搬移、裁制、开仓、修仓库、颁诏、恤孤茕、解除、招贤、整容、选将、覃恩、举正直、求嗣、雪冤、缮城郭、施恩、安抚边境、宣政事、上册、修宫室、整手足甲、祈福	嫁娶、开渠、伐木、畋猎、取鱼、乘船渡水
1993-10-19	一九九三 癸酉[鸡]年 九月大初五	周二	无	无	无	癸酉 壬戌 癸酉 丁巳	无	霜降 (10, 23)	鸡	天秤座	祭祀、沐浴、剃头、扫舍宇、补垣、裁制、赴任、入宅、整容、塞穴、整手足甲	宴会、上表章、冠带、修置产室、开渠、穿井、启攒、修仓库、颁诏、乘船渡水、纳畜、出师、招贤、布政事、选将、针刺、营建、安抚边境、宣政事、上册、疗目
1993-10-20	一九九三 癸酉[鸡]年 九月大初六	周三	无	无	无	癸酉 壬戌 甲戌 己巳	无	霜降 (10, 23)	鸡	天秤座	出行、宴会、嫁娶、上官、进人口、经络、纳财、牧养、庆赐、临政、搬移、裁制、纳畜、招贤、选将、举正直、酝酿、施恩、安抚边境、立券交易	剃头、求医疗病、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、破土、安葬、启攒、补垣、开仓、解除、整容、筑堤防、求嗣、营建、修饰垣墙、上册、整手足甲、祈福
1993-10-21	一九九三 癸酉[鸡]年 九月大初七	周四	无	无	无	癸酉 壬戌 乙亥 辛巳	无	霜降 (10, 23)	鸡	天秤座	沐浴、扫舍宇	结婚姻、宴会、嫁娶、安床、修造、上表章、冠带、进人口、竖柱上梁、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、破土、安葬、启攒、庆赐、补垣、搬移、裁制、纳采、修仓库、鼓铸、颁诏、招贤、布政事、筑堤防、求嗣、营建、缮城郭、修饰垣墙、宣政事、上册、塞穴、修宫室、祈福
1993-10-22	一九九三 癸酉[鸡]年 九月大初八	周五	无	无	无	癸酉 壬戌 丙子 癸巳	无	霜降 (10, 23)	鸡	天秤座	出行、结婚姻、宴会、嫁娶、沐浴、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、安葬、庆赐、补垣、临政、搬移、裁制、开仓、纳采、立券交易、修仓库、赴任、颁诏、恤孤茕、解除、出师、纳畜、招贤、选将、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、塞穴、上册、修宫室、祈福、诉讼	祭祀、剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、鼓铸、入宅、布政事、整容、筑堤防、取鱼、修饰垣墙、苫盖、远回、整手足甲
1993-10-23	一九九三 癸酉[鸡]年 九月大初九	周六	无	重阳节-酆都大帝诞	无	癸酉 壬戌 丁丑 乙巳	霜降	立冬 (11, 7)	鸡	天蝎座	诸事不宜	诸事不宜
1993-10-24	一九九三 癸酉[鸡]年 九月大初十	周日	无	无	无	癸酉 壬戌 戊寅 丁巳	无	立冬 (11, 7)	鸡	天蝎座	入宅	祭祀、出行、安床、剃头、求医疗病、开市、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、安葬、启攒、补垣、开仓、鼓铸、颁诏、解除、乘船渡水、出师、招贤、布政事、选将、整容、筑堤防、举正直、求嗣、营建、安抚边境、施恩、修饰垣墙、宣政事、取鱼、塞穴、远回、整手足甲、祈福
1993-10-25	一九九三 癸酉[鸡]年 九月大十一	周一	无	无	抗美援朝纪念日	癸酉 壬戌 己卯 己巳	无	立冬 (11, 7)	鸡	天蝎座	祭祀、结婚姻、宴会、嫁娶、上官、进人口、经络、纳财、捕捉、畋猎、破土、安葬、庆赐、临政、恤孤茕、纳畜、布政事、覃恩、酝酿、雪冤、安抚边境、立券交易、祈福	出行、安床、修造、求医疗病、上表章、冠带、竖柱上梁、开市、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、补垣、搬移、开仓、纳采、修仓库、乘船渡水、解除、出师、招贤、筑堤防、选将、举正直、求嗣、营建、缮城郭、施恩、取鱼、修饰垣墙、上册、修宫室
1993-10-26	一九九三 癸酉[鸡]年 九月大十二	周二	无	无	无	癸酉 壬戌 庚辰 辛巳	无	立冬 (11, 7)	鸡	天蝎座	祭祀、沐浴、解除、恤孤茕、覃恩、雪冤	冠带、修置产室、开渠、穿井、安碓硙、平治道涂、伐木、捕捉、畋猎、破土、安葬、启攒、补垣、修仓库、鼓铸、颁诏、招贤、筑堤防、营建、修饰垣墙、取鱼、宣政事、上册、塞穴
1993-10-27	一九九三 癸酉[鸡]年 九月大十三	周三	无	孟婆尊神诞	无	癸酉 壬戌 辛巳 癸巳	无	立冬 (11, 7)	鸡	天蝎座	祭祀、宴会、安床、上表章、上官、竖柱上梁、牧养、庆赐、临政、搬移、裁制、纳采、颁诏、恤孤茕、招贤、覃恩、举正直、雪冤、施恩、宣政事、上册	出行、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、破土、启攒、筑堤防、补垣、取鱼、修饰垣墙、修宫室、针刺、开仓
1993-10-28	一九九三 癸酉[鸡]年 九月大十四	周四	无	无	无	癸酉 壬戌 壬午 乙巳	无	立冬 (11, 7)	鸡	天蝎座	祭祀、结婚姻、宴会、嫁娶、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、牧养、安葬、庆赐、临政、搬移、裁制、开仓、纳采、立券交易、解除、纳畜、恤孤茕、出师、布政事、选将、举正直、酝酿、覃恩、求嗣、雪冤、安抚边境、施恩、祈福	修置产室、开渠、穿井、平治道涂、破屋坏垣、营建、修饰垣墙、补垣、苫盖、乘船渡水
1993-10-29	一九九三 癸酉[鸡]年 九月大十五	周五	无	无	无	癸酉 壬戌 癸未 丁巳	无	立冬 (11, 7)	鸡	天蝎座	祭祀、捕捉、畋猎、赴任、入宅、恤孤茕、覃恩、雪冤	剃头、上表章、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、安葬、启攒、补垣、修仓库、鼓铸、颁诏、招贤、筑堤防、整容、营建、修饰垣墙、宣政事、上册、塞穴、整手足甲
1993-10-30	一九九三 癸酉[鸡]年 九月大十六	周六	无	无	无	癸酉 壬戌 甲申 己巳	无	立冬 (11, 7)	鸡	天蝎座	出行、沐浴、剃头、上表章、上官、入学、开市、扫舍宇、牧养、临政、搬移、裁制、颁诏、恤孤茕、解除、招贤、整容、覃恩、举正直、求嗣、雪冤、施恩、宣政事、上册、整手足甲、祈福	结婚姻、嫁娶、安床、平治道涂、破屋坏垣、伐木、畋猎、补垣、开仓、纳采、乘船渡水、出师、筑堤防、营建、取鱼、修饰垣墙、立券交易
1993-10-31	一九九三 癸酉[鸡]年 九月大十七	周日	无	金龙四大王诞	无	癸酉 壬戌 乙酉 辛巳	无	立冬 (11, 7)	鸡	天蝎座	沐浴、剃头、扫舍宇、整容、塞穴、整手足甲	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、开仓、纳采、立券交易、修仓库、颁诏、解除、纳畜、出师、招贤、布政事、选将、筑堤防、举正直、酝酿、疗目、针刺、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、修宫室、祈福
