1952-12-01	一九五二 壬辰[龙]年 十月大十五	周一	无	下元节	世界艾滋病日	壬辰 辛亥 辛巳 癸巳	无	大雪 (12, 7)	龙	射手座	破屋坏垣、覃恩、恤孤茕、雪冤	出行、结婚姻、安床、剃头、修造、上表章、上官、冠带、竖柱上梁、经络、开市、修置产室、开渠、穿井、安碓硙、伐木、栽种、牧养、破土、安葬、启攒、补垣、临政、裁制、开仓、纳采、立券交易、修仓库、鼓铸、颁诏、招贤、整容、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、修饰垣墙、宣政事、上册、塞穴、整手足甲、修宫室、祈福
1952-12-12	一九五二 壬辰[龙]年 十月大廿六	周五	无	无	西安事变纪念日	壬辰 壬子 壬辰 乙巳	无	冬至 (12, 22)	龙	射手座	祭祀、宴会、经络、安碓硙、庆赐、裁制、赴任、颁诏、恤孤茕、入宅、招贤、覃恩、举正直、酝酿、求嗣、雪冤、施恩、宣政事、祈福、诉讼	安床、开市、修置产室、开渠、穿井、畋猎、破土、启攒、筑堤防、取鱼、开仓
1952-12-13	一九五二 壬辰[龙]年 十月大廿七	周六	无	无	南京大屠杀纪念日	壬辰 壬子 癸巳 丁巳	无	冬至 (12, 22)	龙	射手座	祭祀、捕捉、恤孤茕、覃恩、雪冤	出行、安床、剃头、冠带、进人口、修置产室、开渠、穿井、安碓硙、破屋坏垣、破土、启攒、补垣、鼓铸、布政事、整容、筑堤防、取鱼、修饰垣墙、塞穴、整手足甲、修宫室
1952-12-14	一九五二 壬辰[龙]年 十月大廿八	周日	无	无	无	壬辰 壬子 甲午 己巳	无	冬至 (12, 22)	龙	射手座	诸事不宜	诸事不宜
1952-12-15	一九五二 壬辰[龙]年 十月大廿九	周一	无	无	无	壬辰 壬子 乙未 辛巳	无	冬至 (12, 22)	龙	射手座	祭祀、伐木、畋猎	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、整手足甲、修宫室、立券交易、祈福
1952-12-16	一九五二 壬辰[龙]年 十月大三十	周二	无	无	无	壬辰 壬子 丙申 癸巳	无	冬至 (12, 22)	龙	射手座	出行、沐浴、剃头、求医疗病、上表章、上官、入学、竖柱上梁、经络、扫舍宇、牧养、安葬、临政、裁制、解除、整容、举正直、酝酿、施恩、整手足甲	安床、修置产室、开渠、穿井、平治道涂、破屋坏垣、补垣、开仓、鼓铸、乘船渡水、出师、选将、营建、取鱼、修饰垣墙、塞穴
1952-12-17	一九五二 壬辰[龙]年 冬月小初一	周三	无	无	无	壬辰 壬子 丁酉 乙巳	无	冬至 (12, 22)	龙	射手座	沐浴、扫舍宇、捕捉、赴任、入宅、恤孤茕、覃恩、雪冤	宴会、剃头、冠带、修置产室、开渠、穿井、畋猎、启攒、开仓、筑堤防、布政事、取鱼、鼓铸、修宫室、乘船渡水
1952-12-18	一九五二 壬辰[龙]年 冬月小初二	周四	无	无	无	壬辰 壬子 戊戌 丁巳	无	冬至 (12, 22)	龙	射手座	宴会、入学、开市、修置产室、开渠、穿井、安碓硙、栽种、牧养、庆赐、裁制、解除、恤孤茕、覃恩、举正直、求嗣、雪冤、缮城郭、施恩、修宫室、祈福	嫁娶、进人口、伐木、捕捉、畋猎、开仓、出师、选将、取鱼、安抚边境
1952-12-19	一九五二 壬辰[龙]年 冬月小初三	周五	无	无	无	壬辰 壬子 己亥 己巳	无	冬至 (12, 22)	龙	射手座	沐浴、补垣、裁制、恤孤茕、筑堤防、选将、覃恩、雪冤、安抚边境、塞穴	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、进人口、竖柱上梁、开市、修置产室、开渠、穿井、破土、安葬、启攒、庆赐、临政、搬移、开仓、纳采、颁诏、解除、出师、招贤、布政事、举正直、疗目、针刺、求嗣、营建、施恩、宣政事、上册、修宫室、祈福
1952-12-20	一九五二 壬辰[龙]年 冬月小初四	周六	无	至圣先师孔子诞	无	壬辰 壬子 庚子 辛巳	无	冬至 (12, 22)	龙	射手座	诸事不宜	诸事不宜
1952-12-21	一九五二 壬辰[龙]年 冬月小初五	周日	无	无	无	壬辰 壬子 辛丑 癸巳	无	冬至 (12, 22)	龙	射手座	祭祀、结婚姻、宴会、沐浴、剃头、上官、进人口、经络、纳财、扫舍宇、安葬、临政、解除、恤孤茕、出师、整容、选将、举正直、雪冤、施恩、安抚边境、整手足甲、立券交易、祈福	修造、冠带、乘船渡水
1952-12-22	一九五二 壬辰[龙]年 冬月小初六	周一	无	西岳大帝诞	无	壬辰 壬子 壬寅 乙巳	冬至	小寒 (1, 5)	龙	射手座	宴会、嫁娶、修造、上表章、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、庆赐、补垣、裁制、立券交易、颁诏、入宅、恤孤茕、出师、解除、纳畜、选将、覃恩、求嗣、雪冤、营建、缮城郭、安抚边境、宣政事、塞穴、上册、修宫室、祈福	祭祀、开渠、穿井、畋猎、取鱼、远回、整手足甲
1952-12-23	一九五二 壬辰[龙]年 冬月小初七	周二	无	无	无	壬辰 壬子 癸卯 丁巳	无	小寒 (1, 5)	龙	摩羯座	诸事不宜	诸事不宜
1952-12-24	一九五二 壬辰[龙]年 冬月小初八	周三	无	无	平安夜	壬辰 壬子 甲辰 己巳	无	小寒 (1, 5)	龙	摩羯座	祭祀、出行、结婚姻、宴会、嫁娶、修造、上官、冠带、进人口、竖柱上梁、经络、安碓硙、牧养、安葬、庆赐、临政、搬移、裁制、纳采、赴任、纳畜、举正直、酝酿、求嗣、缮城郭、施恩、修宫室、祈福、诉讼	修置产室
1952-12-25	一九五二 壬辰[龙]年 冬月小初九	周四	无	无	圣诞节	壬辰 壬子 乙巳 辛巳	无	小寒 (1, 5)	龙	摩羯座	祭祀、捕捉、恤孤茕、覃恩、雪冤	出行、剃头、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、破土、启攒、补垣、鼓铸、布政事、整容、筑堤防、取鱼、修饰垣墙、塞穴、整手足甲
1952-12-26	一九五二 壬辰[龙]年 冬月小初十	周五	无	无	毛泽东诞辰纪念日	壬辰 壬子 丙午 癸巳	无	小寒 (1, 5)	龙	摩羯座	诸事不宜	诸事不宜
1952-12-27	一九五二 壬辰[龙]年 冬月小十一	周六	无	太乙救苦天尊诞	无	壬辰 壬子 丁未 乙巳	无	小寒 (1, 5)	龙	摩羯座	祭祀、伐木、赴任、入宅、恤孤茕、覃恩、雪冤	剃头、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、启攒、补垣、开仓、鼓铸、整容、布政事、筑堤防、取鱼、修饰垣墙、塞穴、整手足甲、修宫室
1952-12-28	一九五二 壬辰[龙]年 冬月小十二	周日	无	无	无	壬辰 壬子 戊申 丁巳	无	小寒 (1, 5)	龙	摩羯座	出行、沐浴、求医疗病、上官、入学、竖柱上梁、经络、扫舍宇、牧养、临政、裁制、解除、举正直、酝酿、施恩、整手足甲	安床、修置产室、开渠、穿井、平治道涂、破屋坏垣、补垣、开仓、鼓铸、乘船渡水、出师、选将、营建、取鱼、修饰垣墙、塞穴
1952-12-29	一九五二 壬辰[龙]年 冬月小十三	周一	无	无	无	壬辰 壬子 己酉 己巳	无	小寒 (1, 5)	龙	摩羯座	沐浴、剃头、扫舍宇、捕捉、畋猎、恤孤茕、整容、覃恩、雪冤、整手足甲	祭祀、出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、庆赐、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、乘船渡水、招贤、布政事、选将、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、取鱼、上册、修宫室、立券交易、祈福
1952-12-30	一九五二 壬辰[龙]年 冬月小十四	周二	无	无	无	壬辰 壬子 庚戌 辛巳	无	小寒 (1, 5)	龙	摩羯座	宴会、入学、开市、修置产室、开渠、穿井、安碓硙、栽种、牧养、庆赐、裁制、解除、恤孤茕、布政事、覃恩、举正直、求嗣、雪冤、缮城郭、施恩、修宫室、祈福	嫁娶、进人口、经络、伐木、捕捉、畋猎、开仓、乘船渡水、出师、选将、取鱼、安抚边境
1952-12-31	一九五二 壬辰[龙]年 冬月小十五	周三	无	无	无	壬辰 壬子 辛亥 癸巳	无	小寒 (1, 5)	龙	摩羯座	沐浴、补垣、裁制、恤孤茕、筑堤防、选将、覃恩、雪冤、安抚边境、塞穴	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、进人口、竖柱上梁、开市、修置产室、开渠、穿井、破土、安葬、启攒、庆赐、临政、搬移、开仓、纳采、颁诏、解除、出师、招贤、布政事、整容、举正直、酝酿、疗目、针刺、求嗣、营建、施恩、宣政事、上册、修宫室、整手足甲、祈福
