2097-04-01	二零九七 丁巳[蛇]年 二月小十九	周一	无	观音大士诞	国际愚人节	丁巳 癸卯 戊午 丁巳	无	清明 (4, 4)	蛇	白羊座	祭祀、平治道涂、修饰垣墙	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、筑堤防、安抚边境、营建、宣政事、选将、施恩、修宫室、搬移、招贤、祈福、缮城郭、苫盖、立券交易、出师
2097-04-12	二零九七 丁巳[蛇]年 三月大初一	周五	无	二殿楚江王诞	无	丁巳 甲辰 己巳 己巳	无	谷雨 (4, 19)	蛇	白羊座	沐浴、扫舍宇、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、修造、上表章、冠带、进人口、竖柱上梁、修置产室、开渠、穿井、安碓硙、破屋坏垣、破土、安葬、启攒、纳采、鼓铸、布政事、修仓库、求嗣、上册、颁诏、裁制、庆赐、筑堤防、营建、补垣、宣政事、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭
2097-04-13	二零九七 丁巳[蛇]年 三月大初二	周六	无	无	无	丁巳 甲辰 庚午 辛巳	无	谷雨 (4, 19)	蛇	白羊座	诸事不宜	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、庆赐、开仓、入宅、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、苫盖、立券交易、出师
2097-04-14	二零九七 丁巳[蛇]年 三月大初三	周日	无	三月三-玄天上帝诞	无	丁巳 甲辰 辛未 癸巳	无	谷雨 (4, 19)	蛇	白羊座	诸事不宜	诸事不宜
2097-04-15	二零九七 丁巳[蛇]年 三月大初四	周一	无	无	无	丁巳 甲辰 壬申 乙巳	无	谷雨 (4, 19)	蛇	白羊座	祭祀、沐浴、扫舍宇、覃恩、雪冤、恤孤茕、入宅	安床、开市、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、捕捉、畋猎、启攒、鼓铸、布政事、开仓、筑堤防、补垣、修饰垣墙、塞穴、远回、取鱼
2097-04-16	二零九七 丁巳[蛇]年 三月大初五	周二	无	无	无	丁巳 甲辰 癸酉 丁巳	无	谷雨 (4, 19)	蛇	白羊座	祭祀、结婚姻、嫁娶、沐浴、剃头、求医疗病、上官、进人口、经络、纳财、扫舍宇、捕捉、安葬、纳畜、整手足甲、临政、解除、酝酿、整容、安抚边境、祈福、立券交易、取鱼	出行、宴会、安床、修造、上表章、冠带、竖柱上梁、开市、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、纳采、举正直、修仓库、求嗣、上册、乘船渡水、开仓、庆赐、筑堤防、营建、补垣、选将、施恩、修宫室、搬移、修饰垣墙、招贤、缮城郭、出师
2097-04-17	二零九七 丁巳[蛇]年 三月大初六	周三	无	无	无	丁巳 甲辰 甲戌 己巳	无	谷雨 (4, 19)	蛇	白羊座	祭祀、沐浴、求医疗病、解除	结婚姻、宴会、安床、修造、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、伐木、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、临政、布政事、修仓库、求嗣、上册、酝酿、颁诏、乘船渡水、裁制、开仓、庆赐、筑堤防、营建、补垣、宣政事、施恩、修宫室、修饰垣墙、塞穴、招贤、缮城郭、立券交易、取鱼
2097-04-18	二零九七 丁巳[蛇]年 三月大初七	周四	无	无	无	丁巳 甲辰 乙亥 辛巳	无	谷雨 (4, 19)	蛇	白羊座	安床、沐浴、牧养、纳畜、取鱼	出行、结婚姻、嫁娶、修造、求医疗病、进人口、开市、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、破土、安葬、启攒、纳采、修仓库、求嗣、解除、开仓、筑堤防、营建、补垣、修宫室、搬移、修饰垣墙、祈福、缮城郭、立券交易
2097-04-19	二零九七 丁巳[蛇]年 三月大初八	周五	无	六殿卞城王诞	无	丁巳 甲辰 丙子 癸巳	谷雨	立夏 (5, 5)	蛇	白羊座	祭祀、结婚姻、宴会、嫁娶、沐浴、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、牧养、安葬、纳畜、纳采、举正直、临政、求嗣、解除、赴任、酝酿、裁制、庆赐、开仓、施恩、祈福、立券交易、诉讼	修置产室、开渠、穿井、平治道涂、破屋坏垣、补垣、营建、远回、修饰垣墙
2097-04-20	二零九七 丁巳[蛇]年 三月大初九	周六	无	无	无	丁巳 甲辰 丁丑 乙巳	无	立夏 (5, 5)	蛇	白羊座	进人口、纳财、捕捉、牧养、纳畜、恤孤茕、赴任、入宅、覃恩、雪冤	剃头、冠带、立券、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、破土、启攒、鼓铸、开张、布政事、乘船渡水、整容、筑堤防、补垣、修饰垣墙、取鱼
2097-04-21	二零九七 丁巳[蛇]年 三月大初十	周日	无	无	无	丁巳 甲辰 戊寅 丁巳	无	立夏 (5, 5)	蛇	金牛座	出行、结婚姻、宴会、求医疗病、上表章、上官、入学、竖柱上梁、开市、牧养、纳畜、纳采、举正直、临政、恤孤茕、求嗣、解除、上册、颁诏、裁制、庆赐、覃恩、宣政事、施恩、雪冤、搬移、招贤、祈福、立券交易	祭祀、平治道涂、破屋坏垣、伐木、畋猎、启攒、针刺、补垣、取鱼、出师、修饰垣墙、乘船渡水、筑堤防
2097-04-22	二零九七 丁巳[蛇]年 三月大十一	周一	无	无	列宁诞辰纪念日	丁巳 甲辰 己卯 己巳	无	立夏 (5, 5)	蛇	金牛座	覃恩、雪冤、塞穴、恤孤茕	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、纳畜、纳采、针刺、举正直、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、庆赐、开仓、筑堤防、营建、安抚边境、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、招贤、祈福、缮城郭、立券交易、出师、疗目
2097-04-23	二零九七 丁巳[蛇]年 三月大十二	周二	无	无	世界图书和版权日	丁巳 甲辰 庚辰 辛巳	无	立夏 (5, 5)	蛇	金牛座	祭祀、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、开仓、庆赐、整容、筑堤防、营建、安抚边境、补垣、宣政事、选将、修宫室、施恩、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、出师
2097-04-24	二零九七 丁巳[蛇]年 三月大十三	周三	无	无	无	丁巳 甲辰 辛巳 癸巳	无	立夏 (5, 5)	蛇	金牛座	沐浴、扫舍宇、恤孤茕、覃恩、雪冤	出行、结婚姻、嫁娶、安床、修造、上表章、冠带、进人口、竖柱上梁、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、破土、安葬、启攒、纳采、鼓铸、修仓库、求嗣、上册、颁诏、裁制、筑堤防、营建、补垣、宣政事、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭
2097-04-25	二零九七 丁巳[蛇]年 三月大十四	周四	无	无	无	丁巳 甲辰 壬午 乙巳	无	立夏 (5, 5)	蛇	金牛座	出行、结婚姻、宴会、嫁娶、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、栽种、牧养、安葬、纳畜、纳采、举正直、临政、恤孤茕、修仓库、求嗣、解除、上册、颁诏、裁制、开仓、庆赐、入宅、覃恩、补垣、安抚边境、营建、宣政事、选将、施恩、修宫室、雪冤、搬移、塞穴、招贤、祈福、缮城郭、立券交易、出师	祭祀、剃头、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、启攒、鼓铸、整手足甲、乘船渡水、整容、筑堤防、修饰垣墙、苫盖、取鱼
2097-04-26	二零九七 丁巳[蛇]年 三月大十五	周五	无	昊天上帝诞	世界知识产权日	丁巳 甲辰 癸未 丁巳	无	立夏 (5, 5)	蛇	金牛座	诸事不宜	诸事不宜
2097-04-27	二零九七 丁巳[蛇]年 三月大十六	周六	无	准提菩萨诞	无	丁巳 甲辰 甲申 己巳	无	立夏 (5, 5)	蛇	金牛座	沐浴、扫舍宇	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、捕捉、畋猎、栽种、牧养、破土、安葬、启攒、纳畜、纳采、鼓铸、举正直、整手足甲、临政、布政事、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、开仓、庆赐、整容、筑堤防、安抚边境、营建、补垣、宣政事、选将、施恩、修宫室、搬移、修饰垣墙、塞穴、招贤、祈福、缮城郭、立券交易、远回、出师、取鱼
2097-04-28	二零九七 丁巳[蛇]年 三月大十七	周日	无	无	无	丁巳 甲辰 乙酉 辛巳	无	立夏 (5, 5)	蛇	金牛座	祭祀、出行、结婚姻、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、捕捉、栽种、牧养、安葬、纳畜、纳采、举正直、整手足甲、临政、恤孤茕、修仓库、求嗣、解除、上册、酝酿、颁诏、裁制、整容、覃恩、安抚边境、营建、宣政事、选将、施恩、雪冤、搬移、招贤、祈福、缮城郭、立券交易、取鱼	宴会、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、补垣、修宫室、出师、修饰垣墙、乘船渡水、开仓、筑堤防
2097-04-29	二零九七 丁巳[蛇]年 三月大十八	周一	无	无	无	丁巳 甲辰 丙戌 癸巳	无	立夏 (5, 5)	蛇	金牛座	祭祀、沐浴、求医疗病、解除	冠带、修置产室、开渠、穿井、安碓硙、平治道涂、伐木、破土、安葬、启攒、纳畜、鼓铸、布政事、修仓库、上册、颁诏、乘船渡水、筑堤防、营建、补垣、宣政事、修饰垣墙、塞穴、招贤、取鱼
2097-04-30	二零九七 丁巳[蛇]年 三月大十九	周二	无	中岳大帝诞	无	丁巳 甲辰 丁亥 乙巳	无	立夏 (5, 5)	蛇	金牛座	祭祀、结婚姻、宴会、安床、沐浴、上表章、上官、竖柱上梁、纳财、牧养、纳畜、纳采、举正直、临政、恤孤茕、赴任、上册、颁诏、裁制、庆赐、入宅、覃恩、宣政事、施恩、雪冤、招贤	嫁娶、剃头、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、畋猎、破土、启攒、补垣、筑堤防、整手足甲、取鱼、修饰垣墙、整容
