2082-07-01	二零八二 壬寅[虎]年 六月小初六	周三	无	无	中国共产党诞生日,香港回归纪念日	壬寅 丙午 庚午 辛巳	无	小暑 (7, 6)	虎	巨蟹座	诸事不宜	诸事不宜
2082-07-12	二零八二 壬寅[虎]年 六月小十七	周日	无	无	无	壬寅 丁未 辛巳 癸巳	无	大暑 (7, 22)	虎	巨蟹座	入学、覃恩、恤孤茕、雪冤	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、取鱼、施恩、宣政事、安抚边境、修饰垣墙、上册、远回、塞穴、整手足甲、修宫室、立券交易、祈福
2082-07-13	二零八二 壬寅[虎]年 六月小十八	周一	无	无	无	壬寅 丁未 壬午 乙巳	无	大暑 (7, 22)	虎	巨蟹座	经络、安葬、补垣、赴任、入宅、恤孤茕、覃恩、酝酿、雪冤、塞穴、诉讼	出行、安床、上表章、冠带、竖柱上梁、开市、修置产室、开渠、穿井、捕捉、畋猎、栽种、牧养、开仓、修仓库、颁诏、解除、出师、招贤、选将、举正直、针刺、求嗣、营建、缮城郭、施恩、安抚边境、取鱼、宣政事、上册、苫盖、修宫室、疗目、祈福
2082-07-14	二零八二 壬寅[虎]年 六月小十九	周二	无	观世音菩萨成道日	无	壬寅 丁未 癸未 丁巳	无	大暑 (7, 22)	虎	巨蟹座	出行、宴会、嫁娶、上官、进人口、经络、纳财、庆赐、临政、裁制、恤孤茕、纳畜、招贤、布政事、举正直、酝酿、覃恩、雪冤、施恩、立券交易	剃头、求医疗病、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、栽种、安葬、启攒、补垣、开仓、解除、整容、筑堤防、求嗣、营建、修饰垣墙、上册、整手足甲
2082-07-15	二零八二 壬寅[虎]年 六月小二十	周三	无	无	无	壬寅 丁未 甲申 己巳	无	大暑 (7, 22)	虎	巨蟹座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、剃头、修造、求医疗病、上表章、上官、竖柱上梁、扫舍宇、栽种、牧养、安葬、庆赐、临政、搬移、裁制、纳采、修仓库、颁诏、解除、恤孤茕、出师、纳畜、招贤、整容、选将、覃恩、举正直、求嗣、雪冤、营建、缮城郭、施恩、安抚边境、宣政事、上册、整手足甲、祈福	安床、冠带、进人口、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、补垣、开仓、鼓铸、乘船渡水、布政事、筑堤防、酝酿、取鱼、修饰垣墙、塞穴、修宫室、立券交易
2082-07-16	二零八二 壬寅[虎]年 六月小廿一	周四	无	无	无	壬寅 丁未 乙酉 辛巳	无	大暑 (7, 22)	虎	巨蟹座	沐浴、扫舍宇	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、入宅、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、针刺、求嗣、营建、缮城郭、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、整手足甲、修宫室、立券交易、祈福
2082-07-17	二零八二 壬寅[虎]年 六月小廿二	周五	无	无	无	壬寅 丁未 丙戌 癸巳	无	大暑 (7, 22)	虎	巨蟹座	诸事不宜	诸事不宜
2082-07-18	二零八二 壬寅[虎]年 六月小廿三	周六	无	无	无	壬寅 丁未 丁亥 乙巳	无	大暑 (7, 22)	虎	巨蟹座	宴会、沐浴、修造、冠带、竖柱上梁、经络、安碓硙、庆赐、临政、搬移、裁制、赴任、入宅、恤孤茕、纳畜、酝酿、雪冤、缮城郭、修宫室	嫁娶、剃头、求医疗病、上表章、修置产室、栽种、破土、安葬、启攒、开仓、解除、乘船渡水、出师、整容、选将、安抚边境、取鱼、上册、整手足甲
2082-07-19	二零八二 壬寅[虎]年 六月小廿四	周日	无	关帝诞	无	壬寅 丁未 戊子 丁巳	无	大暑 (7, 22)	虎	巨蟹座	祭祀、沐浴、剃头、捕捉、裁制、整容、整手足甲	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、开仓、纳采、修仓库、鼓铸、乘船渡水、纳畜、出师、解除、招贤、筑堤防、选将、举正直、酝酿、求嗣、营建、缮城郭、安抚边境、取鱼、施恩、上册、塞穴、远回、修宫室、立券交易、祈福
2082-07-20	二零八二 壬寅[虎]年 六月小廿五	周一	无	无	无	壬寅 丁未 己丑 己巳	无	大暑 (7, 22)	虎	巨蟹座	祭祀、恤孤茕、覃恩、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、取鱼、施恩、安抚边境、宣政事、修饰垣墙、上册、塞穴、整手足甲、修宫室、立券交易、祈福
2082-07-21	二零八二 壬寅[虎]年 六月小廿六	周二	无	无	无	壬寅 丁未 庚寅 辛巳	无	大暑 (7, 22)	虎	巨蟹座	结婚姻、宴会、安床、上表章、开市、纳财、牧养、安葬、立券交易、选将、酝酿、安抚边境、纳畜、开仓	祭祀、修造、求医疗病、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、补垣、修仓库、解除、筑堤防、求嗣、营建、缮城郭、修饰垣墙、修宫室、祈福
2082-07-22	二零八二 壬寅[虎]年 六月小廿七	周三	无	无	无	壬寅 丁未 辛卯 癸巳	大暑	立秋 (8, 7)	虎	巨蟹座	祭祀、出行、宴会、求医疗病、上表章、上官、入学、进人口、竖柱上梁、经络、开市、纳财、牧养、庆赐、临政、裁制、开仓、纳采、解除、举正直、求嗣、施恩、上册、立券交易、祈福	修置产室、开渠、穿井、平治道涂、破屋坏垣、营建、选将、补垣、修饰垣墙、苫盖、出师
2082-07-23	二零八二 壬寅[虎]年 六月小廿八	周四	无	无	无	壬寅 丁未 壬辰 乙巳	无	立秋 (8, 7)	虎	狮子座	祭祀、进人口、纳财、捕捉、牧养、入宅、纳畜	上表章、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、破土、启攒、补垣、修仓库、鼓铸、颁诏、出师、招贤、布政事、选将、筑堤防、营建、安抚边境、修饰垣墙、宣政事、上册
2082-07-24	二零八二 壬寅[虎]年 六月小廿九	周五	无	无	无	壬寅 丁未 癸巳 丁巳	无	立秋 (8, 7)	虎	狮子座	入学、覃恩、恤孤茕、雪冤	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、解除、纳畜、出师、招贤、布政事、选将、整容、筑堤防、举正直、酝酿、求嗣、营建、缮城郭、取鱼、施恩、宣政事、安抚边境、修饰垣墙、上册、远回、塞穴、整手足甲、修宫室、立券交易、祈福
2082-07-25	二零八二 壬寅[虎]年 七月大初一	周六	无	无	无	壬寅 丁未 甲午 己巳	无	立秋 (8, 7)	虎	狮子座	祭祀、经络、安葬、裁制、赴任、恤孤茕、覃恩、酝酿、雪冤、塞穴、诉讼	冠带、立券、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、捕捉、畋猎、开张、开仓、布政事、针刺、取鱼、修饰垣墙、苫盖、修宫室、整手足甲、疗目
2082-07-26	二零八二 壬寅[虎]年 七月大初二	周日	无	无	无	壬寅 丁未 乙未 辛巳	无	立秋 (8, 7)	虎	狮子座	出行、宴会、嫁娶、上官、进人口、经络、纳财、庆赐、临政、裁制、纳畜、出师、招贤、选将、举正直、酝酿、施恩、安抚边境、立券交易	剃头、求医疗病、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、栽种、安葬、启攒、补垣、开仓、解除、整容、筑堤防、求嗣、营建、修饰垣墙、上册、整手足甲
2082-07-27	二零八二 壬寅[虎]年 七月大初三	周一	无	无	无	壬寅 丁未 丙申 癸巳	无	立秋 (8, 7)	虎	狮子座	祭祀、沐浴、扫舍宇	结婚姻、宴会、嫁娶、安床、修造、上表章、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、启攒、庆赐、补垣、搬移、裁制、开仓、纳采、修仓库、鼓铸、颁诏、纳畜、招贤、布政事、筑堤防、酝酿、营建、缮城郭、修饰垣墙、宣政事、上册、塞穴、修宫室、立券交易
2082-07-28	二零八二 壬寅[虎]年 七月大初四	周二	无	无	无	壬寅 丁未 丁酉 乙巳	无	立秋 (8, 7)	虎	狮子座	出行、结婚姻、嫁娶、沐浴、修造、求医疗病、上表章、进人口、竖柱上梁、经络、开市、纳财、扫舍宇、栽种、牧养、安葬、补垣、搬移、裁制、开仓、纳采、立券交易、修仓库、赴任、入宅、纳畜、解除、出师、选将、求嗣、缮城郭、安抚边境、塞穴、上册、修宫室、整手足甲、祈福	祭祀、宴会、剃头、上官、冠带、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、启攒、临政、鼓铸、颁诏、招贤、布政事、筑堤防、举正直、针刺、营建、施恩、修饰垣墙、宣政事
2082-07-29	二零八二 壬寅[虎]年 七月大初五	周三	无	无	无	壬寅 丁未 戊戌 丁巳	无	立秋 (8, 7)	虎	狮子座	诸事不宜	诸事不宜
2082-07-30	二零八二 壬寅[虎]年 七月大初六	周四	无	无	无	壬寅 丁未 己亥 己巳	无	立秋 (8, 7)	虎	狮子座	祭祀、出行、结婚姻、宴会、沐浴、上官、冠带、进人口、竖柱上梁、经络、牧养、庆赐、临政、搬移、裁制、纳采、颁诏、恤孤茕、纳畜、招贤、覃恩、举正直、酝酿、求嗣、雪冤、施恩、宣政事、祈福	嫁娶、修置产室、开渠、穿井、平治道涂、破屋坏垣、畋猎、破土、启攒、筑堤防、补垣、取鱼、修饰垣墙、整手足甲、乘船渡水
2082-07-31	二零八二 壬寅[虎]年 七月大初七	周五	无	七夕-魁星诞	无	壬寅 丁未 庚子 辛巳	无	立秋 (8, 7)	虎	狮子座	沐浴、剃头、捕捉、整容、整手足甲	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、庆赐、补垣、临政、搬移、开仓、纳采、修仓库、鼓铸、乘船渡水、纳畜、出师、解除、招贤、筑堤防、选将、举正直、酝酿、求嗣、营建、缮城郭、安抚边境、取鱼、施恩、修饰垣墙、上册、塞穴、远回、修宫室、立券交易、祈福
