1908-02-01 10:00:00	一九零七 丁未[羊]年 腊月小廿九	星期六	华、严、菩、萨、诞	丁未 癸丑 丙戌 癸巳	无	立春 (2, 5)	羊	水瓶座	祭祀、捕捉、畋猎	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、解除、颁诏、整容、修饰垣墙、出师、布政事、修仓库、祈福、缮城郭、补垣、鼓铸、上册、整手足甲、纳采、求嗣、宣政事、举正直、修宫室、筑堤防、立券交易、塞穴、酝酿、裁制、搬移、安抚边境、庆赐、临政
1908-02-19 10:00:00	一九零八 戊申[猴]年 正月大十八	星期三	邓、小、平、逝、世、纪、念、日	戊申 甲寅 甲辰 己巳	无	雨水 (2, 20)	猴	双鱼座	宴会、上表章、竖柱上梁、经络、赴任、缮城郭、上册、诉讼、裁制、庆赐、修宫室	祭祀、结婚姻、嫁娶、上官、栽种、破土、启攒、乘船渡水、招贤、施恩、纳采、举正直、取鱼、鼓铸
1908-02-20 10:00:00	一九零八 戊申[猴]年 正月大十九	星期四	无	戊申 甲寅 乙巳 辛巳	雨水	惊蛰 (3, 6)	猴	双鱼座	平治道涂	祭祀、出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、破屋坏垣、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、解除、颁诏、整容、修饰垣墙、修仓库、出师、布政事、祈福、缮城郭、补垣、鼓铸、上册、整手足甲、纳采、求嗣、宣政事、举正直、修宫室、筑堤防、立券交易、塞穴、酝酿、裁制、搬移、安抚边境、庆赐、临政
1908-02-21 10:00:00	一九零八 戊申[猴]年 正月大二十	星期五	国、际、母、语、日	戊申 甲寅 丙午 癸巳	无	惊蛰 (3, 6)	猴	双鱼座	祭祀、结婚姻、宴会、嫁娶、上官、冠带、进人口、竖柱上梁、经络、安碓硙、牧养、营建、纳畜、招贤、施恩、颁诏、祈福、缮城郭、纳采、求嗣、宣政事、举正直、覃恩、恤孤茕、酝酿、裁制、搬移、庆赐、雪冤、临政、修宫室	修置产室、畋猎、取鱼、苫盖
1908-02-22 10:00:00	一九零八 戊申[猴]年 正月大廿一	星期六	无	戊申 甲寅 丁未 乙巳	无	惊蛰 (3, 6)	猴	双鱼座	祭祀、出行、宴会、上表章、上官、竖柱上梁、纳财、捕捉、栽种、牧养、破土、安葬、营建、开仓、招贤、施恩、解除、颁诏、祈福、缮城郭、上册、求嗣、宣政事、举正直、覃恩、恤孤茕、裁制、搬移、庆赐、雪冤、临政、修宫室	剃头、畋猎、整容、取鱼、整手足甲
1908-02-23 10:00:00	一九零八 戊申[猴]年 正月大廿二	星期日	无	戊申 甲寅 戊申 丁巳	无	惊蛰 (3, 6)	猴	双鱼座	祭祀、沐浴、扫舍宇、破屋坏垣、解除、入宅	结婚姻、宴会、安床、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、伐木、栽种、牧养、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、颁诏、修饰垣墙、出师、布政事、修仓库、缮城郭、补垣、鼓铸、上册、求嗣、宣政事、举正直、筑堤防、立券交易、塞穴、酝酿、裁制、安抚边境、庆赐、临政、修宫室
1908-02-24 10:00:00	一九零八 戊申[猴]年 正月大廿三	星期一	第、三、世、界、青、年、日	戊申 甲寅 己酉 己巳	无	惊蛰 (3, 6)	猴	双鱼座	祭祀、沐浴、剃头、扫舍宇、整容、布政事、覃恩、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、开市、纳财、修置产室、栽种、牧养、安葬、营建、开仓、纳畜、招贤、施恩、选将、解除、修仓库、出师、祈福、缮城郭、取鱼、上册、整手足甲、乘船渡水、纳采、求嗣、举正直、修宫室、筑堤防、立券交易、搬移、安抚边境、庆赐、临政
1908-02-25 10:00:00	一九零八 戊申[猴]年 正月大廿四	星期二	无	戊申 甲寅 庚戌 辛巳	无	惊蛰 (3, 6)	猴	双鱼座	入学、雪冤、恤孤茕、覃恩	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、伐木、畋猎、栽种、牧养、破土、安葬、启攒、营建、开仓、纳畜、招贤、施恩、选将、解除、颁诏、整容、修饰垣墙、出师、布政事、修仓库、祈福、缮城郭、补垣、鼓铸、上册、整手足甲、远回、纳采、求嗣、宣政事、举正直、修宫室、筑堤防、立券交易、塞穴、酝酿、裁制、搬移、安抚边境、庆赐、临政
1908-02-26 10:00:00	一九零八 戊申[猴]年 正月大廿五	星期三	无	戊申 甲寅 辛亥 癸巳	无	惊蛰 (3, 6)	猴	双鱼座	祭祀、出行、结婚姻、宴会、沐浴、修造、求医疗病、上表章、上官、进人口、竖柱上梁、经络、开市、纳财、捕捉、栽种、牧养、安葬、营建、开仓、纳畜、招贤、施恩、选将、解除、颁诏、修仓库、出师、祈福、缮城郭、上册、纳采、求嗣、宣政事、举正直、覃恩、恤孤茕、立券交易、酝酿、裁制、搬移、安抚边境、庆赐、雪冤、临政	嫁娶、剃头、冠带、修置产室、开渠、穿井、安碓硙、破屋坏垣、畋猎、破土、启攒、整容、修饰垣墙、补垣、取鱼、鼓铸、整手足甲、修宫室、筑堤防、塞穴
1908-02-27 10:00:00	一九零八 戊申[猴]年 正月大廿六	星期四	无	戊申 甲寅 壬子 乙巳	无	惊蛰 (3, 6)	猴	双鱼座	祭祀、出行、结婚姻、宴会、嫁娶、沐浴、修造、求医疗病、上表章、上官、入学、竖柱上梁、开市、纳财、修置产室、安碓硙、栽种、牧养、营建、纳畜、招贤、施恩、选将、解除、颁诏、出师、修仓库、祈福、缮城郭、上册、纳采、求嗣、宣政事、举正直、修宫室、覃恩、恤孤茕、裁制、搬移、安抚边境、庆赐、雪冤、临政	剃头、冠带、开渠、破屋坏垣、伐木、畋猎、鼓铸、开仓、取鱼、苫盖、补垣、整容、入宅、筑堤防、塞穴、修饰垣墙、整手足甲
1908-02-28 10:00:00	一九零八 戊申[猴]年 正月大廿七	星期五	无	戊申 甲寅 癸丑 丁巳	无	惊蛰 (3, 6)	猴	双鱼座	祭祀、赴任、入宅、覃恩、恤孤茕、雪冤	出行、结婚姻、宴会、嫁娶、安床、剃头、修造、求医疗病、上表章、上官、冠带、进人口、竖柱上梁、经络、开市、纳财、修置产室、开渠、穿井、安碓硙、平治道涂、破屋坏垣、栽种、牧养、破土、安葬、营建、开仓、纳畜、招贤、施恩、选将、解除、针刺、颁诏、整容、修饰垣墙、出师、布政事、修仓库、祈福、缮城郭、补垣、鼓铸、上册、整手足甲、疗目、远回、纳采、求嗣、宣政事、举正直、修宫室、筑堤防、立券交易、塞穴、酝酿、裁制、搬移、安抚边境、庆赐、临政
1908-02-29 10:00:00	一九零八 戊申[猴]年 正月大廿八	星期六	无	戊申 甲寅 甲寅 己巳	无	惊蛰 (3, 6)	猴	双鱼座	宴会、经络、纳财、赴任、纳畜、施恩、举正直、覃恩、恤孤茕、立券交易、酝酿、诉讼、裁制、庆赐、雪冤	祭祀、剃头、求医疗病、上表章、修置产室、开渠、穿井、平治道涂、破屋坏垣、伐木、捕捉、畋猎、栽种、营建、开仓、解除、整容、修饰垣墙、祈福、补垣、取鱼、上册、整手足甲、求嗣、筑堤防、搬移
